FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
70,127,16285,7070,,0,,,0,,0,104
59,105,14779,5700,,0,,,0,,0,85
56,98,13794,5176,,0,,,0,,0,78
53,93,13222,4530,,0,,,0,,0,59
67,128,16873,7410,,0,,,0,,0,113
78,151,17122,7727,,0,,,0,,0,106
53,94,12883,4606,,0,,,0,,0,75
81,159,17866,7969,,0,,,0,,0,123
70,127,16285,7070,,0,,,0,,0,98
74,142,17729,7936,,0,,,0,,0,97
58,103,14236,5489,,0,,,0,,0,77
73,140,17373,7604,,0,,,0,,0,111
55,97,13489,5042,,0,,,0,,0,79
67,124,16781,7035,,0,,,0,,0,100
67,119,16113,6639,,0,,,0,,0,102
64,116,15028,6191,,0,,,0,,0,91
63,114,15136,6055,,0,,,0,,0,84
53,93,12978,4455,,0,,,0,,0,62
59,105,14779,5700,,0,,,0,,0,80
64,115,15676,6238,,0,,,0,,0,102
61,109,14429,5498,,0,,,0,,0,87
63,114,15136,6055,,0,,,0,,0,82
71,137,17253,7842,,0,,,0,,0,105
63,114,15430,6071,,0,,,0,,0,99
67,125,16658,7055,,0,,,0,,0,103
71,136,17498,7789,,0,,,0,,0,101
60,106,15015,5591,,0,,,0,,0,80
61,109,15133,5853,,0,,,0,,0,86
61,108,14533,5604,,0,,,0,,0,85
58,103,14721,5652,,0,,,0,,0,77
67,122,16546,6855,,0,,,0,,0,121
81,157,17464,7883,,0,,,0,,0,126
58,102,14224,5310,,0,,,0,,0,76
63,114,15136,6055,,0,,,0,,0,93
61,109,14775,5734,,0,,,0,,0,86
61,109,14763,5639,,0,,,0,,0,92
55,97,13596,4930,,0,,,0,,0,76
55,96,13573,4992,,0,,,0,,0,76
67,121,16493,6915,,0,,,0,,0,91
61,109,14763,5639,,0,,,0,,0,82
74,146,17939,8141,,0,,,0,,0,117
58,103,14274,5365,,0,,,0,,0,77
58,103,14367,5410,,0,,,0,,0,77
74,141,18012,8206,,0,,,0,,0,120
64,119,15519,6438,,0,,,0,,0,98
61,107,15242,5899,,0,,,0,,0,79
56,98,13721,5153,,0,,,0,,0,83
63,113,15021,5834,,0,,,0,,0,98
55,96,13888,5034,,0,,,0,,0,73
73,140,17373,7604,,0,,,0,,0,121
