FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
67,126,15175,5636,,0,,,0,,0,91
62,114,15144,5595,,0,,,0,,0,80
56,104,14327,4907,,0,,,0,,0,78
54,97,13499,4393,,0,,,0,,0,62
61,113,15110,5439,,0,,,0,,0,77
65,123,14877,5703,,0,,,0,,0,99
85,170,17369,7187,,0,,,0,,0,126
67,129,15297,5775,,0,,,0,,0,97
61,111,15378,5643,,0,,,0,,0,98
71,137,15374,6037,,0,,,0,,0,114
56,102,14227,4896,,0,,,0,,0,76
78,155,16393,6889,,0,,,0,,0,119
53,97,13622,4326,,0,,,0,,0,59
62,115,14737,5437,,0,,,0,,0,92
88,175,17919,7342,,0,,,0,,0,123
68,131,15227,6022,,0,,,0,,0,98
65,124,15296,5767,,0,,,0,,0,103
67,124,15424,5810,,0,,,0,,0,85
65,124,15102,5824,,0,,,0,,0,105
59,110,14627,5366,,0,,,0,,0,76
62,118,14784,5589,,0,,,0,,0,82
56,102,14291,4764,,0,,,0,,0,73
72,138,15558,6122,,0,,,0,,0,104
54,99,13374,4341,,0,,,0,,0,75
72,141,15550,6333,,0,,,0,,0,103
62,114,14617,5415,,0,,,0,,0,106
59,109,14788,5279,,0,,,0,,0,75
62,115,14897,5493,,0,,,0,,0,79
70,133,15691,6080,,0,,,0,,0,99
74,143,15848,6311,,0,,,0,,0,113
67,127,15532,5954,,0,,,0,,0,102
65,124,15177,5722,,0,,,0,,0,102
62,114,15144,5595,,0,,,0,,0,85
62,116,14662,5504,,0,,,0,,0,90
64,121,14796,5519,,0,,,0,,0,78
65,122,14839,5649,,0,,,0,,0,84
56,104,14327,4907,,0,,,0,,0,76
59,110,14966,5587,,0,,,0,,0,77
67,128,15166,5596,,0,,,0,,0,103
67,128,15166,5596,,0,,,0,,0,111
56,103,14197,4819,,0,,,0,,0,68
64,121,14796,5519,,0,,,0,,0,80
62,116,14662,5504,,0,,,0,,0,84
64,120,14466,5261,,0,,,0,,0,86
70,132,15594,5935,,0,,,0,,0,91
78,153,16230,6622,,0,,,0,,0,121
64,120,14621,5336,,0,,,0,,0,92
65,124,15296,5767,,0,,,0,,0,87
59,106,15090,5407,,0,,,0,,0,83
64,122,14831,5452,,0,,,0,,0,98
