FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
49,97,12312,4227,,0,,,0,,0,74
52,106,12645,4810,,0,,,0,,0,77
49,99,12407,4386,,0,,,0,,0,76
58,118,15076,6403,,0,,,0,,0,85
49,97,12312,4227,,0,,,0,,0,73
52,107,12967,5166,,0,,,0,,0,80
55,114,13745,5774,,0,,,0,,0,80
58,122,14868,6486,,0,,,0,,0,103
61,134,15231,6655,,0,,,0,,0,103
55,118,13828,5731,,0,,,0,,0,90
55,116,13633,5739,,0,,,0,,0,82
54,109,13049,5043,,0,,,0,,0,79
52,106,12964,4975,,0,,,0,,0,77
58,121,14879,6430,,0,,,0,,0,102
67,153,16260,7651,,0,,,0,,0,117
49,97,12283,4300,,0,,,0,,0,73
68,158,16274,7733,,0,,,0,,0,106
56,117,14129,6046,,0,,,0,,0,105
71,162,16415,7773,,0,,,0,,0,126
49,97,12278,4195,,0,,,0,,0,68
49,96,12457,4271,,0,,,0,,0,72
55,110,13757,5464,,0,,,0,,0,106
55,113,13753,5675,,0,,,0,,0,86
55,114,13871,5831,,0,,,0,,0,82
64,143,16206,7585,,0,,,0,,0,101
46,92,12558,4460,,0,,,0,,0,63
52,105,12693,4667,,0,,,0,,0,75
55,118,13828,5731,,0,,,0,,0,102
52,103,12772,4760,,0,,,0,,0,78
55,114,13745,5774,,0,,,0,,0,78
71,163,16607,7792,,0,,,0,,0,110
65,146,16082,7517,,0,,,0,,0,102
55,113,13898,5613,,0,,,0,,0,81
61,134,15044,6784,,0,,,0,,0,113
55,113,13612,5609,,0,,,0,,0,92
52,107,12967,5166,,0,,,0,,0,85
54,111,13242,5168,,0,,,0,,0,85
55,116,13633,5739,,0,,,0,,0,95
61,126,15188,6555,,0,,,0,,0,91
55,113,13322,5383,,0,,,0,,0,86
52,105,12741,4725,,0,,,0,,0,79
58,122,14868,6486,,0,,,0,,0,111
52,106,12760,4804,,0,,,0,,0,77
58,123,14520,6330,,0,,,0,,0,98
55,113,13612,5609,,0,,,0,,0,82
52,108,12798,4930,,0,,,0,,0,79
55,116,13633,5739,,0,,,0,,0,84
61,134,15044,6784,,0,,,0,,0,103
61,127,15163,6598,,0,,,0,,0,99
55,111,13703,5449,,0,,,0,,0,78
