FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
50,91,5103,1938,,0,,,0,,0,72
50,92,5181,1912,,0,,,0,,0,74
55,102,5789,2485,,0,,,0,,0,80
55,104,5488,2463,,0,,,0,,0,85
59,111,5904,2705,,0,,,0,,0,95
54,100,5691,2218,,0,,,0,,0,76
55,102,5789,2485,,0,,,0,,0,85
60,120,5602,2662,,0,,,0,,0,103
55,103,5604,2456,,0,,,0,,0,92
59,115,5968,2748,,0,,,0,,0,111
55,104,5567,2443,,0,,,0,,0,78
50,89,5200,1840,,0,,,0,,0,66
55,102,5527,2379,,0,,,0,,0,106
73,152,6175,3207,,0,,,0,,0,123
55,103,5700,2443,,0,,,0,,0,80
59,112,5970,2666,,0,,,0,,0,105
59,111,5904,2705,,0,,,0,,0,84
51,94,5225,2151,,0,,,0,,0,76
51,92,5188,1993,,0,,,0,,0,74
51,92,5153,1977,,0,,,0,,0,79
59,111,5904,2705,,0,,,0,,0,93
72,152,6503,3290,,0,,,0,,0,106
59,115,5968,2748,,0,,,0,,0,103
56,106,5637,2508,,0,,,0,,0,92
59,114,5834,2682,,0,,,0,,0,98
51,94,5225,2151,,0,,,0,,0,78
65,133,6186,3028,,0,,,0,,0,111
65,132,6077,3045,,0,,,0,,0,101
56,107,5529,2510,,0,,,0,,0,98
64,126,6136,2967,,0,,,0,,0,113
69,143,6278,3143,,0,,,0,,0,111
52,96,5323,2305,,0,,,0,,0,76
59,114,5859,2741,,0,,,0,,0,102
72,155,6577,3330,,0,,,0,,0,110
56,109,5669,2571,,0,,,0,,0,87
59,113,5736,2741,,0,,,0,,0,91
51,92,5150,1989,,0,,,0,,0,76
56,106,5594,2490,,0,,,0,,0,81
52,95,5449,2423,,0,,,0,,0,90
56,109,5669,2571,,0,,,0,,0,103
50,89,5166,1815,,0,,,0,,0,62
64,126,6136,2967,,0,,,0,,0,103
65,133,6215,3036,,0,,,0,,0,112
56,106,5637,2517,,0,,,0,,0,82
69,144,6406,3224,,0,,,0,,0,117
56,106,5687,2526,,0,,,0,,0,86
52,95,5332,2334,,0,,,0,,0,83
55,103,5574,2400,,0,,,0,,0,79
68,139,6423,3177,,0,,,0,,0,120
65,133,6186,3028,,0,,,0,,0,121
