FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
51,90,13621,6508,,0,,,0,,0,76
58,106,15045,7945,,0,,,0,,0,93
55,99,14973,7411,,0,,,0,,0,80
66,127,17749,10060,,0,,,0,,0,109
58,108,15614,8257,,0,,,0,,0,102
55,98,14812,7545,,0,,,0,,0,77
55,100,14763,7335,,0,,,0,,0,79
57,104,14864,7830,,0,,,0,,0,87
52,93,14096,7128,,0,,,0,,0,78
52,91,14131,7157,,0,,,0,,0,77
48,85,11974,5338,,0,,,0,,0,64
58,106,15045,7945,,0,,,0,,0,95
56,102,14578,7378,,0,,,0,,0,81
62,117,16064,9075,,0,,,0,,0,100
55,100,14751,7505,,0,,,0,,0,78
55,100,14264,7315,,0,,,0,,0,90
62,118,15947,9178,,0,,,0,,0,114
65,128,16492,9682,,0,,,0,,0,111
52,94,14339,7288,,0,,,0,,0,75
52,92,13977,6926,,0,,,0,,0,83
60,110,15715,8463,,0,,,0,,0,91
52,92,14080,6963,,0,,,0,,0,78
55,99,14503,7248,,0,,,0,,0,82
60,112,16174,8850,,0,,,0,,0,102
51,90,13508,6417,,0,,,0,,0,79
55,99,14503,7248,,0,,,0,,0,92
65,127,16292,9527,,0,,,0,,0,101
49,87,12453,5910,,0,,,0,,0,68
63,119,16475,9141,,0,,,0,,0,104
55,99,14470,7553,,0,,,0,,0,80
58,106,15045,7945,,0,,,0,,0,82
51,90,13633,6481,,0,,,0,,0,74
62,119,15694,8896,,0,,,0,,0,103
48,84,11901,5147,,0,,,0,,0,59
71,145,16897,10031,,0,,,0,,0,106
68,136,17247,9929,,0,,,0,,0,111
60,110,15586,8273,,0,,,0,,0,93
51,90,13621,6303,,0,,,0,,0,74
58,109,15333,8295,,0,,,0,,0,111
58,107,15355,8160,,0,,,0,,0,99
55,101,14563,7602,,0,,,0,,0,82
55,99,14581,7160,,0,,,0,,0,77
58,106,15045,7945,,0,,,0,,0,84
61,114,16294,8645,,0,,,0,,0,91
68,133,16927,9784,,0,,,0,,0,120
55,101,14707,7666,,0,,,0,,0,86
55,97,14536,7342,,0,,,0,,0,98
58,107,15446,8245,,0,,,0,,0,87
66,131,16381,9734,,0,,,0,,0,103
55,101,14563,7602,,0,,,0,,0,92
