FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
75,158,20503,10251,,0,,,0,,0,111
84,179,21723,11027,,0,,,0,,0,106
65,129,18946,8860,,0,,,0,,0,84
75,158,20503,10251,,0,,,0,,0,121
67,133,18975,9067,,0,,,0,,0,91
62,121,18998,8774,,0,,,0,,0,79
85,182,21754,11258,,0,,,0,,0,126
59,110,17880,7803,,0,,,0,,0,76
58,108,17680,7228,,0,,,0,,0,73
65,129,18946,8860,,0,,,0,,0,95
62,117,18789,8476,,0,,,0,,0,98
59,110,17880,7803,,0,,,0,,0,78
65,127,18834,8643,,0,,,0,,0,82
64,126,19014,8909,,0,,,0,,0,82
71,144,19149,9138,,0,,,0,,0,103
62,119,19165,8818,,0,,,0,,0,77
62,121,18950,8996,,0,,,0,,0,92
56,103,17231,6999,,0,,,0,,0,66
65,126,18802,8728,,0,,,0,,0,81
77,163,22039,11220,,0,,,0,,0,119
81,170,21814,11122,,0,,,0,,0,111
62,120,19125,8962,,0,,,0,,0,85
62,121,18950,8996,,0,,,0,,0,82
62,118,19098,8697,,0,,,0,,0,77
68,136,19462,9142,,0,,,0,,0,103
58,109,17507,7175,,0,,,0,,0,73
56,107,17154,7174,,0,,,0,,0,68
62,119,19013,8781,,0,,,0,,0,77
64,124,18679,8649,,0,,,0,,0,90
56,105,17194,7048,,0,,,0,,0,72
61,117,18912,8295,,0,,,0,,0,75
81,172,22360,11332,,0,,,0,,0,117
62,118,18940,8600,,0,,,0,,0,79
59,113,18301,8168,,0,,,0,,0,76
71,148,19672,9506,,0,,,0,,0,113
58,109,17489,7227,,0,,,0,,0,76
65,129,18946,8860,,0,,,0,,0,93
65,129,18946,8860,,0,,,0,,0,82
64,126,18682,8618,,0,,,0,,0,86
65,127,18831,8705,,0,,,0,,0,80
59,112,18467,8095,,0,,,0,,0,90
64,126,19014,8909,,0,,,0,,0,92
56,103,17175,6775,,0,,,0,,0,59
75,159,20755,10428,,0,,,0,,0,112
65,130,19153,9072,,0,,,0,,0,87
75,159,20755,10428,,0,,,0,,0,105
65,130,19153,9072,,0,,,0,,0,103
56,106,17113,7014,,0,,,0,,0,68
56,103,17162,6914,,0,,,0,,0,62
61,118,18892,8674,,0,,,0,,0,76
