FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
158.0,312.0,19821,8006,,0,,,0,,0,253
51.0,97.0,12795,4960,,0,,,0,,0,101
76.0,163.0,17952,8469,,0,,,0,,0,129
71.0,145.0,17042,7757,,0,,,0,,0,143
49.0,92.0,11997,4411,,0,,,0,,0,63
67.0,136.0,16911,7841,,0,,,0,,0,102
59.0,116.0,15826,6849,,0,,,0,,0,93
64.0,131.0,17439,8057,,0,,,0,,0,92
66.0,134.0,15127,6658,,0,,,0,,0,189
56.0,105.0,15057,6051,,0,,,0,,0,81
55.0,107.0,14867,6172,,0,,,0,,0,106
201.0,,17174,4538,,0,,,0,,0,216
51.0,97.0,12807,4944,,0,,,0,,0,83
64.0,127.0,16123,7315,,0,,,0,,0,128
64.0,127.0,16123,7315,,0,,,0,,0,115
68.0,139.0,16104,7188,,0,,,0,,0,119
58.0,112.0,14282,5853,,0,,,0,,0,100
79.0,167.0,19327,9269,,0,,,0,,0,108
95.0,201.0,20052,9554,,0,,,0,,0,217
66.0,134.0,14918,6673,,0,,,0,,0,134
53.0,100.0,13863,5524,,0,,,0,,0,97
56.0,109.0,14384,5999,,0,,,0,,0,91
56.0,105.0,15057,6051,,0,,,0,,0,77
,,0,0,,0,,,0,,0,219
58.0,113.0,15701,6705,,0,,,0,,0,94
129.0,278.0,22148,9452,,0,,,0,,0,169
,,16,0,,0,,,0,,0,237
78.0,164.0,18370,8781,,0,,,0,,0,127
70.0,144.0,17011,7923,,0,,,0,,0,126
56.0,109.0,14505,6033,,0,,,0,,0,100
51.0,95.0,12800,4890,,0,,,0,,0,70
59.0,117.0,15766,6909,,0,,,0,,0,90
59.0,112.0,15576,6535,,0,,,0,,0,87
54.0,103.0,13951,5663,,0,,,0,,0,93
65.0,130.0,16089,7283,,0,,,0,,0,115
85.0,181.0,20322,10172,,0,,,0,,0,133
67.0,136.0,16911,7841,,0,,,0,,0,119
95.0,202.0,18786,8857,,0,,,0,,0,216
51.0,96.0,12872,5090,,0,,,0,,0,100
67.0,136.0,16911,7841,,0,,,0,,0,99
51.0,96.0,13073,5121,,0,,,0,,0,77
59.0,117.0,15766,6909,,0,,,0,,0,92
134.0,281.0,21251,9252,,0,,,0,,0,185
68.0,139.0,15508,6972,,0,,,0,,0,134
60.0,119.0,14518,6300,,0,,,0,,0,109
,152.0,258,0,,0,,,0,,0,215
,96.0,25,0,,0,,,0,,0,234
53.0,102.0,14432,5888,,0,,,0,,0,74
84.0,179.0,19995,9958,,0,,,0,,0,161
66.0,134.0,14918,6673,,0,,,0,,0,176
