FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
60.0,110.0,12399,6190,,0,,,0,,0,93
219.0,,9490,2691,,0,,,0,,0,218
60.0,111.0,11680,5982,,0,,,0,,0,119
60.0,112.0,12252,6229,,0,,,0,,0,99
113.0,236.0,15645,7861,,0,,,0,,0,169
44.0,76.0,9052,3551,,0,,,0,,0,63
53.0,93.0,12190,5755,,0,,,0,,0,91
60.0,110.0,12035,6109,,0,,,0,,0,94
51.0,91.0,10666,5015,,0,,,0,,0,101
53.0,97.0,10294,4901,,0,,,0,,0,109
63.0,117.0,12699,6454,,0,,,0,,0,143
71.0,136.0,12831,6849,,0,,,0,,0,108
120.0,243.0,14780,7343,,0,,,0,,0,186
66.0,124.0,12291,6216,,0,,,0,,0,116
71.0,134.0,12432,6372,,0,,,0,,0,135
47.0,82.0,10457,4612,,0,,,0,,0,77
56.0,103.0,11140,5522,,0,,,0,,0,116
53.0,96.0,11591,5631,,0,,,0,,0,90
71.0,134.0,12432,6372,,0,,,0,,0,129
66.0,124.0,12291,6216,,0,,,0,,0,123
82.0,165.0,13026,7133,,0,,,0,,0,216
47.0,80.0,9962,4157,,0,,,0,,0,70
50.0,88.0,11400,5441,,0,,,0,,0,77
47.0,82.0,10363,4608,,0,,,0,,0,100
74.0,146.0,13641,7322,,0,,,0,,0,133
60.0,112.0,11128,5470,,0,,,0,,0,133
60.0,110.0,12329,6303,,0,,,0,,0,112
53.0,94.0,11526,5563,,0,,,0,,0,94
56.0,103.0,11140,5522,,0,,,0,,0,128
50.0,86.0,11052,5002,,0,,,0,,0,86
47.0,81.0,10085,4488,,0,,,0,,0,83
51.0,90.0,10541,4854,,0,,,0,,0,92
60.0,111.0,10904,5442,,0,,,0,,0,134
46.0,79.0,9811,4036,,0,,,0,,0,74
47.0,80.0,9728,4134,,0,,,0,,0,91
217.0,,8000,1548,,0,,,0,,0,185
47.0,81.0,10310,4612,,0,,,0,,0,97
53.0,96.0,11591,5631,,0,,,0,,0,92
,,0,0,,0,,,0,,0,219
50.0,88.0,11400,5441,,0,,,0,,0,81
48.0,85.0,10195,4929,,0,,,0,,0,93
60.0,110.0,12329,6303,,0,,,0,,0,119
44.0,76.0,9052,3551,,0,,,0,,0,60
57.0,107.0,10997,5441,,0,,,0,,0,115
53.0,93.0,10725,4899,,0,,,0,,0,107
173.0,,14266,6539,,0,,,0,,0,216
96.0,198.0,16402,9074,,0,,,0,,0,160
53.0,97.0,11296,5528,,0,,,0,,0,93
60.0,110.0,12329,6303,,0,,,0,,0,100
47.0,84.0,10225,4635,,0,,,0,,0,114
