FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
46.0,85.0,13078,5356,,0,,,0,,0,60
54.0,104.0,15338,7568,,0,,,0,,0,107
75.0,160.0,23513,13795,,0,,,0,,0,108
65.0,131.0,19796,11041,,0,,,0,,0,134
48.0,91.0,14173,6641,,0,,,0,,0,77
54.0,105.0,17362,8813,,0,,,0,,0,87
74.0,155.0,22803,12947,,0,,,0,,0,127
51.0,99.0,16278,8052,,0,,,0,,0,81
51.0,99.0,16278,8052,,0,,,0,,0,77
63.0,124.0,19173,10351,,0,,,0,,0,115
87.0,192.0,23427,13529,,0,,,0,,0,216
145.0,303.0,21231,10461,,0,,,0,,0,253
66.0,132.0,21449,11900,,0,,,0,,0,99
51.0,98.0,14931,7147,,0,,,0,,0,93
51.0,97.0,16820,8092,,0,,,0,,0,74
68.0,137.0,21753,12376,,0,,,0,,0,143
51.0,98.0,16103,7788,,0,,,0,,0,85
184.0,,20458,7546,,0,,,0,,0,216
75.0,158.0,22069,12678,,0,,,0,,0,129
87.0,192.0,24910,14674,,0,,,0,,0,217
65.0,132.0,21065,11766,,0,,,0,,0,109
51.0,95.0,15994,7479,,0,,,0,,0,90
,,16,0,,0,,,0,,0,237
48.0,90.0,14174,6341,,0,,,0,,0,83
66.0,131.0,21121,11424,,0,,,0,,0,99
66.0,131.0,21121,11424,,0,,,0,,0,112
75.0,158.0,22069,12678,,0,,,0,,0,135
227.0,,15362,2754,,0,,,0,,0,218
72.0,146.0,22418,12605,,0,,,0,,0,116
57.0,112.0,18633,9520,,0,,,0,,0,90
53.0,104.0,15685,7654,,0,,,0,,0,101
51.0,96.0,15333,7420,,0,,,0,,0,125
229.0,,13773,1679,,0,,,0,,0,185
48.0,91.0,14902,6550,,0,,,0,,0,97
62.0,125.0,18535,9994,,0,,,0,,0,133
66.0,131.0,21121,11424,,0,,,0,,0,119
62.0,126.0,20662,11424,,0,,,0,,0,92
46.0,85.0,13078,5356,,0,,,0,,0,63
48.0,89.0,14354,6123,,0,,,0,,0,74
54.0,103.0,16250,8076,,0,,,0,,0,100
62.0,125.0,18535,9994,,0,,,0,,0,189
57.0,111.0,18367,9520,,0,,,0,,0,93
54.0,104.0,17681,8806,,0,,,0,,0,91
,,0,0,,0,,,0,,0,219
51.0,96.0,15333,7420,,0,,,0,,0,114
80.0,175.0,20742,11659,,0,,,0,,0,251
108.0,244.0,24018,12793,,0,,,0,,0,161
65.0,130.0,20550,11459,,0,,,0,,0,119
65.0,130.0,20966,11424,,0,,,0,,0,94
57.0,112.0,18633,9520,,0,,,0,,0,92
