FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
61.0,110.0,11654,3162,,0,,,0,,0,133
48.0,81.0,10516,2059,,0,,,0,,0,77
49.0,84.0,10585,2333,,0,,,0,,0,74
51.0,91.0,11037,2625,,0,,,0,,0,91
62.0,115.0,13068,3500,,0,,,0,,0,112
63.0,115.0,12666,3500,,0,,,0,,0,119
54.0,94.0,11085,2569,,0,,,0,,0,101
53.0,93.0,11412,2625,,0,,,0,,0,87
54.0,93.0,11351,2625,,0,,,0,,0,93
,144.0,601,0,,0,,,0,,0,219
54.0,97.0,11696,2722,,0,,,0,,0,93
63.0,117.0,13058,3500,,0,,,0,,0,109
48.0,82.0,10675,2133,,0,,,0,,0,90
56.0,100.0,11835,2916,,0,,,0,,0,109
50.0,88.0,11000,2430,,0,,,0,,0,77
112.0,223.0,14706,4003,,0,,,0,,0,161
65.0,122.0,13613,3694,,0,,,0,,0,143
199.0,,16576,3058,,0,,,0,,0,216
295.0,,7785,0,,0,,,0,,0,214
46.0,76.0,10419,1845,,0,,,0,,0,63
58.0,105.0,11913,3111,,0,,,0,,0,116
48.0,82.0,10415,2059,,0,,,0,,0,100
51.0,87.0,10604,2232,,0,,,0,,0,93
51.0,90.0,10484,2417,,0,,,0,,0,101
71.0,134.0,14082,4178,,0,,,0,,0,127
68.0,128.0,13755,3986,,0,,,0,,0,123
51.0,90.0,10469,2408,,0,,,0,,0,92
63.0,114.0,13032,3403,,0,,,0,,0,94
58.0,105.0,11913,3111,,0,,,0,,0,128
61.0,111.0,12586,3305,,0,,,0,,0,93
62.0,115.0,13068,3500,,0,,,0,,0,102
54.0,95.0,11452,2722,,0,,,0,,0,94
46.0,78.0,10328,2044,,0,,,0,,0,70
56.0,100.0,12424,2819,,0,,,0,,0,90
127.0,249.0,17349,4675,,0,,,0,,0,169
89.0,172.0,14969,4393,,0,,,0,,0,216
62.0,113.0,12141,3328,,0,,,0,,0,134
62.0,113.0,12141,3328,,0,,,0,,0,176
107.0,207.0,15265,4340,,0,,,0,,0,160
73.0,140.0,14411,4472,,0,,,0,,0,108
53.0,94.0,10735,2584,,0,,,0,,0,107
79.0,152.0,15412,4820,,0,,,0,,0,161
60.0,109.0,12256,3208,,0,,,0,,0,115
63.0,116.0,12380,3500,,0,,,0,,0,134
,,0,0,,0,,,0,,0,237
226.0,,13038,955,,0,,,0,,0,185
65.0,122.0,13613,3694,,0,,,0,,0,121
,,0,0,,0,,,0,,0,219
62.0,115.0,13068,3500,,0,,,0,,0,100
125.0,238.0,15808,4284,,0,,,0,,0,186
