FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
65.0,127.0,8046,4430,,0,,,0,,0,112
166.0,294.0,7490,3640,,0,,,0,,0,253
65.0,127.0,8046,4430,,0,,,0,,0,119
65.0,126.0,6855,3742,,0,,,0,,0,176
69.0,136.0,8205,4525,,0,,,0,,0,143
117.0,231.0,7635,3720,,0,,,0,,0,161
66.0,128.0,7337,4058,,0,,,0,,0,119
93.0,182.0,8495,4629,,0,,,0,,0,217
56.0,104.0,7426,3851,,0,,,0,,0,87
66.0,127.0,7782,4216,,0,,,0,,0,94
65.0,126.0,6855,3742,,0,,,0,,0,134
57.0,106.0,7444,3913,,0,,,0,,0,94
56.0,103.0,7373,3510,,0,,,0,,0,91
52.0,94.0,6165,2966,,0,,,0,,0,85
65.0,125.0,7851,4201,,0,,,0,,0,92
60.0,112.0,7284,3749,,0,,,0,,0,109
69.0,136.0,8806,4852,,0,,,0,,0,126
130.0,246.0,7938,3957,,0,,,0,,0,186
51.0,91.0,5994,2555,,0,,,0,,0,97
,,0,0,,0,,,0,,0,219
56.0,103.0,6698,3080,,0,,,0,,0,92
131.0,254.0,8539,4151,,0,,,0,,0,169
73.0,144.0,8575,4772,,0,,,0,,0,123
84.0,166.0,7299,4009,,0,,,0,,0,251
77.0,153.0,8525,4691,,0,,,0,,0,135
48.0,85.0,5447,2044,,0,,,0,,0,63
57.0,105.0,6729,3385,,0,,,0,,0,101
49.0,87.0,5430,2248,,0,,,0,,0,91
84.0,169.0,9560,5232,,0,,,0,,0,161
,144.0,86,0,,0,,,0,,0,219
56.0,104.0,6693,3437,,0,,,0,,0,107
62.0,118.0,7236,3879,,0,,,0,,0,128
48.0,85.0,5447,2044,,0,,,0,,0,60
107.0,213.0,7692,3995,,0,,,0,,0,160
49.0,88.0,5465,2313,,0,,,0,,0,83
81.0,158.0,8862,5115,,0,,,0,,0,133
49.0,87.0,5430,2248,,0,,,0,,0,101
49.0,86.0,5444,2124,,0,,,0,,0,70
,57.0,16,0,,0,,,0,,0,234
52.0,95.0,6502,2938,,0,,,0,,0,74
76.0,149.0,8175,4553,,0,,,0,,0,108
93.0,184.0,7953,4312,,0,,,0,,0,216
68.0,132.0,7725,4175,,0,,,0,,0,134
65.0,127.0,8046,4430,,0,,,0,,0,102
53.0,95.0,6194,2674,,0,,,0,,0,125
49.0,89.0,5518,2297,,0,,,0,,0,77
73.0,144.0,8575,4772,,0,,,0,,0,116
205.0,,6916,2469,,0,,,0,,0,216
306.0,,1434,0,,0,,,0,,0,214
65.0,128.0,7990,4493,,0,,,0,,0,99
