FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
78.0,147.0,18918,7870,,0,,,0,,0,121
,57.0,16,0,,0,,,0,,0,234
50.0,88.0,12393,3382,,0,,,0,,0,60
197.0,,21795,8443,,0,,,0,,0,253
61.0,111.0,16144,5832,,0,,,0,,0,87
144.0,267.0,24446,10228,,0,,,0,,0,161
78.0,147.0,18918,7870,,0,,,0,,0,143
132.0,249.0,24194,10428,,0,,,0,,0,160
95.0,182.0,22088,9859,,0,,,0,,0,133
56.0,100.0,14826,5346,,0,,,0,,0,114
72.0,135.0,15706,6038,,0,,,0,,0,189
280.0,,11706,0,,0,,,0,,0,185
53.0,94.0,13285,4255,,0,,,0,,0,77
75.0,141.0,17638,7263,,0,,,0,,0,134
52.0,92.0,13353,4147,,0,,,0,,0,74
72.0,135.0,15706,6038,,0,,,0,,0,133
72.0,135.0,16161,6489,,0,,,0,,0,134
55.0,97.0,14372,4794,,0,,,0,,0,100
81.0,155.0,20155,8586,,0,,,0,,0,116
,,0,0,,0,,,0,,0,219
110.0,206.0,18293,7606,,0,,,0,,0,216
64.0,117.0,16590,6480,,0,,,0,,0,93
52.0,92.0,13224,3999,,0,,,0,,0,70
69.0,128.0,17145,6838,,0,,,0,,0,115
72.0,138.0,18652,7614,,0,,,0,,0,112
86.0,165.0,19983,8562,,0,,,0,,0,129
61.0,110.0,16376,5832,,0,,,0,,0,91
157.0,288.0,24419,10608,,0,,,0,,0,185
52.0,93.0,13315,4297,,0,,,0,,0,101
72.0,138.0,18652,7614,,0,,,0,,0,102
56.0,100.0,14826,5346,,0,,,0,,0,125
63.0,118.0,16958,6480,,0,,,0,,0,90
50.0,88.0,12393,3382,,0,,,0,,0,63
,144.0,475,0,,0,,,0,,0,219
58.0,103.0,15384,5346,,0,,,0,,0,93
61.0,111.0,16163,5832,,0,,,0,,0,93
89.0,169.0,21222,9323,,0,,,0,,0,108
54.0,96.0,14722,4811,,0,,,0,,0,97
75.0,140.0,18917,7776,,0,,,0,,0,99
96.0,184.0,18042,7664,,0,,,0,,0,251
52.0,93.0,13368,4120,,0,,,0,,0,83
162.0,300.0,25486,10616,,0,,,0,,0,169
65.0,120.0,16304,6056,,0,,,0,,0,109
86.0,164.0,21114,9229,,0,,,0,,0,127
,,3811,0,,0,,,0,,0,214
,,0,0,,0,,,0,,0,237
75.0,140.0,17869,7468,,0,,,0,,0,119
52.0,93.0,13315,4297,,0,,,0,,0,91
61.0,111.0,15436,5660,,0,,,0,,0,100
58.0,104.0,15839,5508,,0,,,0,,0,77
