FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
135.0,232.0,20039,7309,,0,,,0,,0,186
71.0,123.0,16750,6570,,0,,,0,,0,116
71.0,123.0,16750,6570,,0,,,0,,0,123
54.0,88.0,13337,4404,,0,,,0,,0,91
53.0,87.0,12323,3773,,0,,,0,,0,92
62.0,105.0,14434,5024,,0,,,0,,0,115
63.0,106.0,13472,4794,,0,,,0,,0,189
238.0,,13623,1064,,0,,,0,,0,185
48.0,76.0,11673,3215,,0,,,0,,0,83
52.0,83.0,12842,3833,,0,,,0,,0,86
54.0,87.0,12379,3846,,0,,,0,,0,101
76.0,132.0,17141,6952,,0,,,0,,0,135
92.0,164.0,18315,7212,,0,,,0,,0,217
65.0,111.0,14672,5551,,0,,,0,,0,177
305.0,,6157,0,,0,,,0,,0,214
56.0,91.0,13393,4296,,0,,,0,,0,107
63.0,106.0,14859,5584,,0,,,0,,0,93
48.0,76.0,11636,3002,,0,,,0,,0,74
65.0,111.0,14961,5546,,0,,,0,,0,119
,144.0,584,0,,0,,,0,,0,219
56.0,94.0,14410,4805,,0,,,0,,0,92
52.0,85.0,13059,3959,,0,,,0,,0,77
,,0,0,,0,,,0,,0,237
76.0,132.0,17141,6952,,0,,,0,,0,129
51.0,82.0,11835,3463,,0,,,0,,0,93
51.0,82.0,11939,3388,,0,,,0,,0,125
48.0,75.0,11713,2885,,0,,,0,,0,63
56.0,94.0,14410,4805,,0,,,0,,0,90
,,0,0,,0,,,0,,0,219
92.0,165.0,17310,6563,,0,,,0,,0,216
50.0,79.0,11956,3241,,0,,,0,,0,97
65.0,110.0,15552,5606,,0,,,0,,0,94
48.0,76.0,11641,3201,,0,,,0,,0,101
64.0,109.0,14072,5014,,0,,,0,,0,134
51.0,82.0,12812,3754,,0,,,0,,0,74
83.0,147.0,19153,7961,,0,,,0,,0,133
54.0,87.0,13050,4150,,0,,,0,,0,106
65.0,110.0,15753,5806,,0,,,0,,0,99
82.0,147.0,15536,6038,,0,,,0,,0,251
54.0,88.0,13128,4402,,0,,,0,,0,93
,57.0,16,0,,0,,,0,,0,234
65.0,111.0,14672,5551,,0,,,0,,0,134
48.0,76.0,11734,3011,,0,,,0,,0,70
76.0,131.0,17595,7001,,0,,,0,,0,127
48.0,77.0,11593,3136,,0,,,0,,0,78
48.0,75.0,11713,2885,,0,,,0,,0,60
65.0,110.0,15820,5806,,0,,,0,,0,112
60.0,101.0,14626,5190,,0,,,0,,0,128
52.0,85.0,13059,3959,,0,,,0,,0,81
59.0,96.0,14218,5005,,0,,,0,,0,109
