FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
49.0,88.0,4880,1725,,0,,,0,,0,83
117.0,231.0,6770,2854,,0,,,0,,0,161
77.0,152.0,7741,3779,,0,,,0,,0,127
130.0,246.0,7004,3023,,0,,,0,,0,186
56.0,103.0,5899,2281,,0,,,0,,0,92
51.0,91.0,5337,1899,,0,,,0,,0,97
62.0,118.0,6288,2870,,0,,,0,,0,115
57.0,103.0,5958,2356,,0,,,0,,0,100
69.0,136.0,7029,3349,,0,,,0,,0,143
81.0,158.0,7543,3797,,0,,,0,,0,133
52.0,95.0,5738,2174,,0,,,0,,0,74
57.0,105.0,5857,2496,,0,,,0,,0,101
53.0,95.0,5507,1986,,0,,,0,,0,114
66.0,128.0,6339,3012,,0,,,0,,0,119
73.0,144.0,7336,3533,,0,,,0,,0,116
66.0,127.0,6700,3117,,0,,,0,,0,94
48.0,86.0,4918,1698,,0,,,0,,0,74
84.0,169.0,8219,3891,,0,,,0,,0,161
56.0,102.0,6254,2437,,0,,,0,,0,106
65.0,127.0,6915,3270,,0,,,0,,0,112
84.0,166.0,6326,3036,,0,,,0,,0,251
107.0,213.0,6741,3044,,0,,,0,,0,160
65.0,125.0,6758,3102,,0,,,0,,0,92
49.0,87.0,4858,1676,,0,,,0,,0,91
48.0,85.0,4922,1519,,0,,,0,,0,63
65.0,127.0,6915,3270,,0,,,0,,0,119
166.0,294.0,6667,2817,,0,,,0,,0,253
,57.0,16,0,,0,,,0,,0,234
65.0,128.0,6862,3317,,0,,,0,,0,99
232.0,,4573,574,,0,,,0,,0,185
69.0,136.0,7029,3349,,0,,,0,,0,121
52.0,97.0,5458,2236,,0,,,0,,0,81
,,0,0,,0,,,0,,0,219
93.0,184.0,6901,3261,,0,,,0,,0,216
53.0,95.0,5507,1986,,0,,,0,,0,125
56.0,103.0,6445,2583,,0,,,0,,0,91
48.0,85.0,4922,1519,,0,,,0,,0,60
205.0,,6347,1900,,0,,,0,,0,216
60.0,112.0,6297,2762,,0,,,0,,0,109
56.0,104.0,6328,2731,,0,,,0,,0,93
68.0,132.0,6704,3098,,0,,,0,,0,134
73.0,144.0,7336,3533,,0,,,0,,0,123
59.0,111.0,7016,3137,,0,,,0,,0,92
67.0,130.0,6526,3128,,0,,,0,,0,109
77.0,153.0,7325,3492,,0,,,0,,0,129
65.0,126.0,5964,2789,,0,,,0,,0,134
93.0,182.0,7342,3476,,0,,,0,,0,217
56.0,104.0,6403,2823,,0,,,0,,0,87
49.0,87.0,4858,1676,,0,,,0,,0,101
,144.0,86,0,,0,,,0,,0,219
