FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
123.0,180.0,9927,4240,,0,,,0,,0,216
172.0,247.0,12505,5233,,0,,,0,,0,186
146.0,213.0,12780,5667,,0,,,0,,0,160
,,656,0,,0,,,0,,0,214
68.0,96.0,8138,3218,,0,,,0,,0,93
78.0,112.0,8679,3324,,0,,,0,,0,115
93.0,136.0,10102,4714,,0,,,0,,0,123
73.0,105.0,9407,3894,,0,,,0,,0,90
,,0,0,,0,,,0,,0,219
217.0,295.0,11920,4931,,0,,,0,,0,253
78.0,112.0,8679,3324,,0,,,0,,0,128
64.0,89.0,7770,2754,,0,,,0,,0,114
65.0,91.0,8463,3060,,0,,,0,,0,85
60.0,82.0,7826,2766,,0,,,0,,0,70
,,0,0,,0,,,0,,0,237
60.0,83.0,7721,2783,,0,,,0,,0,97
60.0,83.0,7524,2529,,0,,,0,,0,101
86.0,127.0,9218,4032,,0,,,0,,0,143
109.0,161.0,8313,3545,,0,,,0,,0,251
82.0,120.0,9612,4177,,0,,,0,,0,112
,57.0,16,0,,0,,,0,,0,234
109.0,159.0,10214,4501,,0,,,0,,0,161
85.0,123.0,8739,3874,,0,,,0,,0,177
68.0,97.0,7298,2809,,0,,,0,,0,101
67.0,95.0,7968,2969,,0,,,0,,0,106
82.0,120.0,9612,4177,,0,,,0,,0,119
101.0,147.0,10434,4536,,0,,,0,,0,108
70.0,99.0,7865,2997,,0,,,0,,0,107
162.0,233.0,12877,5282,,0,,,0,,0,161
85.0,123.0,8739,3874,,0,,,0,,0,134
86.0,127.0,9218,4032,,0,,,0,,0,121
57.0,79.0,7271,2273,,0,,,0,,0,60
67.0,95.0,7568,2911,,0,,,0,,0,92
66.0,93.0,8521,3262,,0,,,0,,0,77
97.0,142.0,10006,4727,,0,,,0,,0,127
73.0,105.0,9407,3894,,0,,,0,,0,92
66.0,93.0,8521,3262,,0,,,0,,0,81
82.0,119.0,9125,3808,,0,,,0,,0,94
79.0,114.0,8340,3279,,0,,,0,,0,115
82.0,118.0,7696,3100,,0,,,0,,0,189
82.0,118.0,7815,3238,,0,,,0,,0,176
62.0,87.0,8128,2807,,0,,,0,,0,90
74.0,105.0,8162,3169,,0,,,0,,0,109
60.0,83.0,7534,2654,,0,,,0,,0,83
82.0,118.0,7696,3100,,0,,,0,,0,133
61.0,84.0,7534,2598,,0,,,0,,0,77
82.0,118.0,7815,3238,,0,,,0,,0,134
97.0,144.0,9779,4255,,0,,,0,,0,129
123.0,180.0,10642,4748,,0,,,0,,0,217
106.0,158.0,10122,4414,,0,,,0,,0,133
