FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
47.0,82.0,12766,5675,,0,,,0,,0,74
65.0,123.0,19188,11060,,0,,,0,,0,112
65.0,123.0,19188,11060,,0,,,0,,0,119
207.0,,18413,6318,,0,,,0,,0,216
83.0,163.0,18410,10271,,0,,,0,,0,251
56.0,100.0,16916,9006,,0,,,0,,0,93
65.0,123.0,19188,11060,,0,,,0,,0,102
60.0,112.0,17001,9251,,0,,,0,,0,115
50.0,87.0,13647,6370,,0,,,0,,0,90
236.0,,11818,1412,,0,,,0,,0,185
58.0,107.0,16393,8797,,0,,,0,,0,109
52.0,93.0,14880,7211,,0,,,0,,0,77
56.0,101.0,17090,9180,,0,,,0,,0,94
76.0,147.0,20806,12114,,0,,,0,,0,135
,57.0,16,0,,0,,,0,,0,234
53.0,96.0,14920,7513,,0,,,0,,0,106
50.0,85.0,13026,5675,,0,,,0,,0,83
50.0,86.0,12954,5831,,0,,,0,,0,77
71.0,137.0,20217,12224,,0,,,0,,0,116
74.0,144.0,20787,12852,,0,,,0,,0,127
52.0,91.0,14343,6752,,0,,,0,,0,85
65.0,124.0,17537,9895,,0,,,0,,0,177
66.0,124.0,18084,10304,,0,,,0,,0,109
71.0,137.0,20217,12224,,0,,,0,,0,123
53.0,96.0,14010,6980,,0,,,0,,0,101
65.0,122.0,18717,10586,,0,,,0,,0,94
60.0,112.0,17001,9251,,0,,,0,,0,128
131.0,252.0,22800,12013,,0,,,0,,0,186
93.0,183.0,22851,12804,,0,,,0,,0,217
52.0,93.0,14880,7211,,0,,,0,,0,81
76.0,147.0,20806,12114,,0,,,0,,0,129
65.0,121.0,16354,9009,,0,,,0,,0,176
,,0,0,,0,,,0,,0,219
94.0,184.0,21254,11962,,0,,,0,,0,216
63.0,118.0,15656,8646,,0,,,0,,0,133
68.0,130.0,19010,11230,,0,,,0,,0,143
53.0,96.0,13968,6954,,0,,,0,,0,92
,144.0,355,0,,0,,,0,,0,219
47.0,81.0,12601,5137,,0,,,0,,0,63
50.0,86.0,13465,5997,,0,,,0,,0,97
,,0,0,,0,,,0,,0,237
49.0,85.0,13324,5682,,0,,,0,,0,91
306.0,,4777,0,,0,,,0,,0,214
55.0,100.0,16560,8610,,0,,,0,,0,87
47.0,81.0,12601,5137,,0,,,0,,0,60
53.0,97.0,15288,7787,,0,,,0,,0,91
65.0,123.0,17656,10110,,0,,,0,,0,119
56.0,103.0,17143,9248,,0,,,0,,0,93
55.0,100.0,15099,7802,,0,,,0,,0,107
81.0,160.0,22723,13854,,0,,,0,,0,133
