FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
66.0,120.0,15565,6494,,0,,,0,,0,94
60.0,104.0,14068,5318,,0,,,0,,0,100
295.0,,8289,0,,0,,,0,,0,185
104.0,195.0,15947,6996,,0,,,0,,0,251
65.0,119.0,14368,5716,,0,,,0,,0,107
104.0,194.0,19322,8921,,0,,,0,,0,161
69.0,126.0,16494,7284,,0,,,0,,0,92
57.0,100.0,13716,5133,,0,,,0,,0,101
82.0,155.0,18890,8726,,0,,,0,,0,126
253.0,,14360,1135,,0,,,0,,0,216
65.0,117.0,14193,5558,,0,,,0,,0,91
93.0,175.0,19816,9056,,0,,,0,,0,129
,,2819,0,,0,,,0,,0,214
207.0,,19645,7344,,0,,,0,,0,253
54.0,95.0,12095,3951,,0,,,0,,0,63
57.0,100.0,13573,5117,,0,,,0,,0,83
78.0,145.0,17281,7652,,0,,,0,,0,94
78.0,147.0,18038,8155,,0,,,0,,0,99
81.0,150.0,16456,7222,,0,,,0,,0,134
119.0,217.0,19157,8861,,0,,,0,,0,217
59.0,105.0,14876,5760,,0,,,0,,0,90
78.0,144.0,15175,6570,,0,,,0,,0,134
,,0,0,,0,,,0,,0,237
81.0,149.0,16992,7411,,0,,,0,,0,119
57.0,100.0,13716,5133,,0,,,0,,0,91
84.0,156.0,18241,8152,,0,,,0,,0,142
81.0,150.0,18406,8506,,0,,,0,,0,99
78.0,144.0,17472,7859,,0,,,0,,0,92
88.0,164.0,19513,8984,,0,,,0,,0,115
78.0,143.0,14625,6102,,0,,,0,,0,133
75.0,137.0,16244,7035,,0,,,0,,0,128
75.0,139.0,15886,6815,,0,,,0,,0,115
,144.0,261,0,,0,,,0,,0,219
60.0,107.0,14298,5662,,0,,,0,,0,125
166.0,302.0,23005,10608,,0,,,0,,0,185
65.0,119.0,15966,6607,,0,,,0,,0,87
172.0,315.0,24750,11124,,0,,,0,,0,169
62.0,109.0,15179,5929,,0,,,0,,0,85
78.0,147.0,18038,8155,,0,,,0,,0,112
57.0,101.0,13667,5316,,0,,,0,,0,77
69.0,125.0,16470,7282,,0,,,0,,0,93
78.0,147.0,18038,8155,,0,,,0,,0,102
65.0,117.0,14223,5585,,0,,,0,,0,100
59.0,103.0,14529,5589,,0,,,0,,0,97
143.0,262.0,24370,11655,,0,,,0,,0,159
93.0,175.0,19816,9056,,0,,,0,,0,135
60.0,107.0,14298,5662,,0,,,0,,0,114
57.0,99.0,13559,4815,,0,,,0,,0,70
54.0,95.0,12095,3951,,0,,,0,,0,60
102.0,192.0,20110,9571,,0,,,0,,0,133
