FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
66.0,134.0,17690,10883,,0,,,0,,0,189
69.0,146.0,21477,13809,,0,,,0,,0,143
78.0,168.0,26204,17209,,0,,,0,,0,127
69.0,150.0,23783,15492,,0,,,0,,0,126
65.0,135.0,18502,11429,,0,,,0,,0,134
66.0,140.0,22437,14297,,0,,,0,,0,119
57.0,114.0,19526,11402,,0,,,0,,0,94
48.0,91.0,14289,7362,,0,,,0,,0,60
51.0,100.0,17403,10064,,0,,,0,,0,90
113.0,253.0,25141,15084,,0,,,0,,0,160
69.0,146.0,21477,13809,,0,,,0,,0,121
51.0,97.0,16788,9113,,0,,,0,,0,101
56.0,110.0,16494,9356,,0,,,0,,0,100
57.0,110.0,17540,10061,,0,,,0,,0,100
78.0,173.0,26874,17840,,0,,,0,,0,108
94.0,211.0,23390,14316,,0,,,0,,0,216
63.0,129.0,19820,12217,,0,,,0,,0,115
56.0,110.0,17082,9838,,0,,,0,,0,107
135.0,296.0,23060,12920,,0,,,0,,0,185
52.0,100.0,16697,9409,,0,,,0,,0,114
72.0,158.0,24020,15568,,0,,,0,,0,116
,,0,0,,0,,,0,,0,237
,,2742,0,,0,,,0,,0,214
72.0,158.0,24020,15568,,0,,,0,,0,123
55.0,107.0,16707,9608,,0,,,0,,0,91
51.0,97.0,16374,8886,,0,,,0,,0,83
59.0,118.0,17788,10745,,0,,,0,,0,109
66.0,140.0,22437,14297,,0,,,0,,0,112
54.0,103.0,16729,9615,,0,,,0,,0,93
123.0,272.0,23663,13576,,0,,,0,,0,161
184.0,,23528,12015,,0,,,0,,0,253
54.0,107.0,17800,10481,,0,,,0,,0,106
63.0,129.0,19820,12217,,0,,,0,,0,128
52.0,100.0,16697,9409,,0,,,0,,0,125
66.0,141.0,22488,14249,,0,,,0,,0,99
219.0,,14538,3721,,0,,,0,,0,216
66.0,140.0,22437,14297,,0,,,0,,0,99
59.0,120.0,20418,12393,,0,,,0,,0,90
64.0,131.0,19094,11875,,0,,,0,,0,115
67.0,141.0,21858,13910,,0,,,0,,0,109
57.0,112.0,19090,11316,,0,,,0,,0,93
51.0,98.0,17085,9484,,0,,,0,,0,97
256.0,,9948,120,,0,,,0,,0,185
83.0,186.0,26829,17447,,0,,,0,,0,133
,70.0,16,0,,0,,,0,,0,234
138.0,308.0,24292,13656,,0,,,0,,0,169
68.0,142.0,20499,12730,,0,,,0,,0,134
53.0,104.0,17760,10182,,0,,,0,,0,85
66.0,137.0,21583,13410,,0,,,0,,0,92
59.0,120.0,20418,12393,,0,,,0,,0,92
