FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
97,143,12453,5480,,0,,,0,,0,127
96,139,12207,5301,,0,,,0,,0,101
100,147,12455,5482,,0,,,0,,0,129
96,140,12108,5168,,0,,,0,,0,99
97,143,12453,5480,,0,,,0,,0,125
97,143,12453,5480,,0,,,0,,0,123
94,137,12665,5539,,0,,,0,,0,81
101,146,12586,5416,,0,,,0,,0,122
97,143,12533,5516,,0,,,0,,0,127
96,140,12021,5132,,0,,,0,,0,117
106,156,13029,5848,,0,,,0,,0,140
96,139,12523,5423,,0,,,0,,0,107
103,149,12610,5505,,0,,,0,,0,131
97,140,11959,5192,,0,,,0,,0,116
93,135,11899,5096,,0,,,0,,0,99
97,141,12530,5533,,0,,,0,,0,115
93,135,11899,5096,,0,,,0,,0,118
88,128,12341,5351,,0,,,0,,0,209
104,152,12664,5666,,0,,,0,,0,134
97,142,12461,5364,,0,,,0,,0,126
97,140,12247,5327,,0,,,0,,0,88
90,131,12409,5408,,0,,,0,,0,116
100,147,12455,5482,,0,,,0,,0,128
99,143,12080,5311,,0,,,0,,0,102
90,131,12409,5408,,0,,,0,,0,93
94,136,12155,5205,,0,,,0,,0,87
103,151,12946,5661,,0,,,0,,0,129
90,131,12131,5101,,0,,,0,,0,84
103,152,12800,5563,,0,,,0,,0,144
103,151,12946,5661,,0,,,0,,0,128
97,142,12461,5364,,0,,,0,,0,127
101,148,12688,5540,,0,,,0,,0,126
97,143,12533,5516,,0,,,0,,0,125
