FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
67,124,18364,10451,,0,,,0,,0,116
71,131,17620,10005,,0,,,0,,0,101
72,135,17752,10267,,0,,,0,,0,127
74,135,17574,10031,,0,,,0,,0,102
76,145,19348,11230,,0,,,0,,0,134
73,135,18143,10267,,0,,,0,,0,116
74,140,18488,10729,,0,,,0,,0,129
76,144,18941,11007,,0,,,0,,0,144
67,123,18755,10671,,0,,,0,,0,209
73,136,17969,10094,,0,,,0,,0,115
70,129,17315,9660,,0,,,0,,0,118
73,134,18264,10199,,0,,,0,,0,88
72,135,17752,10267,,0,,,0,,0,126
72,136,17999,10447,,0,,,0,,0,127
67,124,18364,10451,,0,,,0,,0,93
77,144,18932,10992,,0,,,0,,0,128
75,141,18846,11024,,0,,,0,,0,131
70,129,17315,9660,,0,,,0,,0,99
71,130,17991,10100,,0,,,0,,0,87
72,136,18080,10612,,0,,,0,,0,127
73,134,17939,10008,,0,,,0,,0,117
72,136,18080,10612,,0,,,0,,0,123
72,136,18080,10612,,0,,,0,,0,125
69,127,18571,10633,,0,,,0,,0,84
74,140,18488,10729,,0,,,0,,0,128
71,131,17427,9834,,0,,,0,,0,107
74,140,18774,10860,,0,,,0,,0,126
78,147,19332,11416,,0,,,0,,0,140
70,129,17854,10350,,0,,,0,,0,81
72,136,17999,10447,,0,,,0,,0,125
74,137,17665,10097,,0,,,0,,0,122
73,134,18023,10050,,0,,,0,,0,99
77,144,18932,10992,,0,,,0,,0,129
