FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
77,136,14664,6334,,0,,,0,,0,125
76,136,14582,6199,,0,,,0,,0,123
83,145,15699,6943,,0,,,0,,0,128
76,135,14768,6202,,0,,,0,,0,127
76,132,14217,5903,,0,,,0,,0,107
78,135,14641,5979,,0,,,0,,0,117
72,125,14536,5970,,0,,,0,,0,116
75,130,14262,5817,,0,,,0,,0,99
76,133,14552,5999,,0,,,0,,0,88
76,134,14681,6082,,0,,,0,,0,115
79,136,14802,6207,,0,,,0,,0,102
75,129,14796,6114,,0,,,0,,0,81
79,140,15475,6674,,0,,,0,,0,128
76,135,14768,6202,,0,,,0,,0,126
76,133,14339,5899,,0,,,0,,0,99
83,145,15699,6943,,0,,,0,,0,129
77,136,14664,6334,,0,,,0,,0,127
79,140,15475,6674,,0,,,0,,0,129
79,141,15237,6600,,0,,,0,,0,126
76,136,14582,6199,,0,,,0,,0,127
76,130,14662,6019,,0,,,0,,0,87
80,141,15533,6818,,0,,,0,,0,131
82,145,16042,7130,,0,,,0,,0,144
70,122,14869,6277,,0,,,0,,0,209
76,136,14582,6199,,0,,,0,,0,125
85,150,16406,7307,,0,,,0,,0,140
75,130,14262,5817,,0,,,0,,0,118
79,137,14747,6131,,0,,,0,,0,122
72,126,14749,6040,,0,,,0,,0,84
76,132,14304,5979,,0,,,0,,0,101
82,146,16101,6997,,0,,,0,,0,134
72,125,14536,5970,,0,,,0,,0,93
78,135,14832,6155,,0,,,0,,0,116
