FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
56,98,11526,2819,,0,,,0,,0,107
56,97,11370,2625,,0,,,0,,0,84
59,105,11943,3014,,0,,,0,,0,126
56,100,11823,2916,,0,,,0,,0,126
59,105,12195,3111,,0,,,0,,0,129
56,100,11823,2916,,0,,,0,,0,127
58,103,11845,3014,,0,,,0,,0,131
56,96,11549,2625,,0,,,0,,0,209
56,100,11377,2819,,0,,,0,,0,99
56,100,11756,2916,,0,,,0,,0,115
56,100,11565,2916,,0,,,0,,0,116
58,103,11995,3014,,0,,,0,,0,123
58,102,11885,2916,,0,,,0,,0,88
56,96,11302,2625,,0,,,0,,0,117
56,96,11302,2625,,0,,,0,,0,93
56,100,11566,2916,,0,,,0,,0,117
55,96,10988,2722,,0,,,0,,0,99
60,107,12237,3111,,0,,,0,,0,128
61,109,12266,3208,,0,,,0,,0,134
56,99,11295,2819,,0,,,0,,0,101
58,103,11995,3014,,0,,,0,,0,125
56,101,11740,3014,,0,,,0,,0,125
60,107,12237,3111,,0,,,0,,0,129
55,97,11337,2722,,0,,,0,,0,87
58,100,11637,2819,,0,,,0,,0,81
59,107,12211,3208,,0,,,0,,0,144
59,105,12195,3111,,0,,,0,,0,129
55,96,10988,2722,,0,,,0,,0,118
61,109,12084,3305,,0,,,0,,0,141
59,105,11955,3014,,0,,,0,,0,122
59,103,11964,2916,,0,,,0,,0,103
58,103,11995,3014,,0,,,0,,0,127
56,101,11740,3014,,0,,,0,,0,127
