FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
63,118,15601,5944,,0,,,0,,0,126
64,115,15270,5648,,0,,,0,,0,118
65,121,15975,6002,,0,,,0,,0,125
66,121,15559,5866,,0,,,0,,0,103
65,117,15664,5839,,0,,,0,,0,87
63,115,15352,5738,,0,,,0,,0,107
67,125,15983,6107,,0,,,0,,0,128
63,112,14970,5476,,0,,,0,,0,117
64,117,15643,5906,,0,,,0,,0,81
64,115,15270,5648,,0,,,0,,0,99
66,123,15931,6019,,0,,,0,,0,129
68,128,16086,6335,,0,,,0,,0,140
66,121,16082,6099,,0,,,0,,0,127
63,117,15666,5897,,0,,,0,,0,115
65,121,15975,6002,,0,,,0,,0,123
65,121,15975,6002,,0,,,0,,0,127
67,123,16146,6054,,0,,,0,,0,131
65,118,15882,5884,,0,,,0,,0,101
65,116,15585,5806,,0,,,0,,0,84
65,119,15575,5841,,0,,,0,,0,88
63,112,14970,5476,,0,,,0,,0,93
66,123,15981,6297,,0,,,0,,0,126
66,120,15727,5769,,0,,,0,,0,117
62,111,15273,5721,,0,,,0,,0,209
66,123,15931,6019,,0,,,0,,0,129
69,128,16145,6200,,0,,,0,,0,144
66,121,16082,6099,,0,,,0,,0,125
67,125,15983,6107,,0,,,0,,0,129
63,118,15601,5944,,0,,,0,,0,127
68,128,16014,6186,,0,,,0,,0,134
65,119,15656,5823,,0,,,0,,0,99
66,120,15758,5794,,0,,,0,,0,116
66,122,15620,5822,,0,,,0,,0,122
