FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
58,108,5580,2509,,0,,,0,,0,87
58,107,5472,2422,,0,,,0,,0,99
57,105,5361,2399,,0,,,0,,0,93
60,116,5819,2637,,0,,,0,,0,129
58,110,5593,2493,,0,,,0,,0,99
62,119,6106,2764,,0,,,0,,0,144
63,120,5945,2714,,0,,,0,,0,134
58,107,5472,2422,,0,,,0,,0,118
59,113,5822,2706,,0,,,0,,0,129
59,110,5678,2619,,0,,,0,,0,117
58,110,5564,2491,,0,,,0,,0,88
61,111,5849,2636,,0,,,0,,0,81
60,109,5639,2483,,0,,,0,,0,84
59,112,5686,2572,,0,,,0,,0,123
61,118,5823,2676,,0,,,0,,0,141
59,110,5674,2619,,0,,,0,,0,116
59,112,5686,2572,,0,,,0,,0,125
59,112,5686,2572,,0,,,0,,0,127
57,105,5361,2399,,0,,,0,,0,117
59,114,5726,2671,,0,,,0,,0,126
58,109,5673,2474,,0,,,0,,0,101
58,110,5985,2626,,0,,,0,,0,115
58,110,6158,2736,,0,,,0,,0,126
60,114,5842,2667,,0,,,0,,0,131
59,113,5629,2584,,0,,,0,,0,122
58,108,5958,2675,,0,,,0,,0,107
59,111,5609,2536,,0,,,0,,0,103
57,104,5511,2426,,0,,,0,,0,209
58,110,6158,2736,,0,,,0,,0,127
59,111,5802,2719,,0,,,0,,0,125
59,113,5822,2706,,0,,,0,,0,129
60,116,5819,2637,,0,,,0,,0,128
59,111,5802,2719,,0,,,0,,0,127
