FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
47,98,10394,4451,,0,,,0,,0,125
45,90,9796,4077,,0,,,0,,0,94
47,97,9974,4269,,0,,,0,,0,115
51,106,11760,5166,,0,,,0,,0,141
48,100,10757,4690,,0,,,0,,0,131
48,102,10796,4717,,0,,,0,,0,128
45,91,9805,4172,,0,,,0,,0,84
48,100,10286,4447,,0,,,0,,0,122
48,101,10688,4657,,0,,,0,,0,129
46,95,10394,4416,,0,,,0,,0,87
50,105,11170,4989,,0,,,0,,0,134
46,93,9781,4174,,0,,,0,,0,118
47,96,10043,4222,,0,,,0,,0,101
46,95,10192,4390,,0,,,0,,0,107
47,98,10394,4451,,0,,,0,,0,123
45,90,9796,4077,,0,,,0,,0,117
47,97,10334,4373,,0,,,0,,0,116
47,97,10313,4359,,0,,,0,,0,117
47,98,10203,4396,,0,,,0,,0,103
47,98,10612,4471,,0,,,0,,0,126
50,105,11676,5086,,0,,,0,,0,144
47,97,10042,4310,,0,,,0,,0,88
47,99,10562,4540,,0,,,0,,0,127
48,102,10796,4717,,0,,,0,,0,129
47,99,10562,4540,,0,,,0,,0,125
46,93,9781,4174,,0,,,0,,0,99
45,89,10405,4458,,0,,,0,,0,210
46,94,10023,4222,,0,,,0,,0,81
48,101,10688,4657,,0,,,0,,0,129
47,98,10394,4451,,0,,,0,,0,127
47,97,9979,4273,,0,,,0,,0,99
47,100,10338,4515,,0,,,0,,0,126
47,98,10612,4471,,0,,,0,,0,127
