FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
64,117,6583,3481,,0,,,0,,0,126
68,124,6902,3809,,0,,,0,,0,128
65,117,6770,3574,,0,,,0,,0,115
64,116,6358,3333,,0,,,0,,0,116
68,126,7008,3875,,0,,,0,,0,141
60,108,6219,3222,,0,,,0,,0,93
64,113,6630,3472,,0,,,0,,0,99
67,123,7037,3721,,0,,,0,,0,129
64,114,6628,3493,,0,,,0,,0,81
66,120,6973,3700,,0,,,0,,0,123
67,125,6840,3620,,0,,,0,,0,134
64,117,6583,3481,,0,,,0,,0,127
63,115,6395,3282,,0,,,0,,0,99
64,113,6630,3472,,0,,,0,,0,118
67,122,6954,3798,,0,,,0,,0,131
63,113,6370,3295,,0,,,0,,0,107
64,118,6533,3525,,0,,,0,,0,125
66,120,6973,3700,,0,,,0,,0,125
67,123,7037,3721,,0,,,0,,0,129
61,109,6256,3294,,0,,,0,,0,84
60,108,6219,3222,,0,,,0,,0,117
63,114,6263,3249,,0,,,0,,0,101
68,124,6902,3809,,0,,,0,,0,129
66,122,7006,3715,,0,,,0,,0,126
62,112,6402,3322,,0,,,0,,0,87
67,121,6664,3584,,0,,,0,,0,122
66,120,6973,3700,,0,,,0,,0,127
68,126,7037,3821,,0,,,0,,0,144
64,116,6353,3330,,0,,,0,,0,117
65,117,6737,3503,,0,,,0,,0,88
60,107,6658,3434,,0,,,0,,0,209
64,118,6533,3525,,0,,,0,,0,127
66,119,6619,3505,,0,,,0,,0,103
