FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
70,126,21734,11435,,0,,,0,,0,126
69,121,20749,10514,,0,,,0,,0,88
75,133,23146,12690,,0,,,0,,0,140
70,124,21857,11476,,0,,,0,,0,127
74,130,22758,12242,,0,,,0,,0,129
66,116,20382,10273,,0,,,0,,0,87
71,126,22299,11789,,0,,,0,,0,131
68,121,21479,11284,,0,,,0,,0,126
73,131,22107,12054,,0,,,0,,0,134
70,124,22370,11902,,0,,,0,,0,125
70,121,21141,10676,,0,,,0,,0,117
65,112,19277,9639,,0,,,0,,0,117
68,121,21479,11284,,0,,,0,,0,127
70,122,20823,10579,,0,,,0,,0,103
70,124,21857,11476,,0,,,0,,0,125
68,116,20211,9992,,0,,,0,,0,118
64,112,20072,10177,,0,,,0,,0,209
67,116,20188,10294,,0,,,0,,0,84
68,119,20688,10519,,0,,,0,,0,81
74,130,22758,12242,,0,,,0,,0,128
70,123,20914,10685,,0,,,0,,0,122
69,120,20666,10223,,0,,,0,,0,101
70,121,21214,10724,,0,,,0,,0,116
65,112,19277,9639,,0,,,0,,0,93
69,120,20834,10502,,0,,,0,,0,115
67,116,19842,10037,,0,,,0,,0,107
68,116,20211,9992,,0,,,0,,0,99
70,124,22370,11902,,0,,,0,,0,127
74,131,22858,12262,,0,,,0,,0,144
71,126,21760,11547,,0,,,0,,0,129
71,126,21760,11547,,0,,,0,,0,129
69,121,20637,10414,,0,,,0,,0,99
70,124,21857,11476,,0,,,0,,0,123
