FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
77,133,19813,9812,,0,,,0,,0,127
80,138,20263,10111,,0,,,0,,0,126
76,130,19244,9236,,0,,,0,,0,88
81,141,20337,10297,,0,,,0,,0,129
80,139,20520,10116,,0,,,0,,0,131
73,124,18424,8802,,0,,,0,,0,116
80,138,20514,10005,,0,,,0,,0,128
72,123,19445,9248,,0,,,0,,0,209
77,133,19813,9812,,0,,,0,,0,125
77,129,19185,9232,,0,,,0,,0,115
77,133,19825,9659,,0,,,0,,0,126
77,134,19937,9636,,0,,,0,,0,125
77,130,19384,9478,,0,,,0,,0,99
74,125,18690,8910,,0,,,0,,0,99
84,146,21376,11105,,0,,,0,,0,140
73,124,18424,8802,,0,,,0,,0,93
75,128,19889,9859,,0,,,0,,0,81
73,125,19021,9163,,0,,,0,,0,84
76,128,19171,9161,,0,,,0,,0,87
77,133,19825,9659,,0,,,0,,0,127
77,134,19937,9636,,0,,,0,,0,127
81,141,20337,10297,,0,,,0,,0,128
80,138,20514,10005,,0,,,0,,0,129
81,141,20438,10282,,0,,,0,,0,144
77,131,19510,9272,,0,,,0,,0,116
76,127,19018,9045,,0,,,0,,0,107
77,133,19813,9812,,0,,,0,,0,123
80,134,19708,9456,,0,,,0,,0,122
77,130,19437,9492,,0,,,0,,0,117
82,144,20192,10316,,0,,,0,,0,134
74,125,18690,8910,,0,,,0,,0,118
76,129,19256,9035,,0,,,0,,0,101
79,133,19518,9220,,0,,,0,,0,102
