FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
61,106,15359,6229,,0,,,0,,0,93
65,114,15310,5992,,0,,,0,,0,88
65,114,15411,5814,,0,,,0,,0,99
65,114,15627,5906,,0,,,0,,0,115
68,123,16500,6801,,0,,,0,,0,134
64,112,15182,5836,,0,,,0,,0,81
63,109,15122,5832,,0,,,0,,0,84
65,117,16135,6491,,0,,,0,,0,127
66,117,16056,6426,,0,,,0,,0,127
66,119,16078,6463,,0,,,0,,0,126
63,110,15273,5812,,0,,,0,,0,118
60,105,15618,6083,,0,,,0,,0,209
61,106,15359,6229,,0,,,0,,0,117
66,119,16052,6571,,0,,,0,,0,129
65,115,15270,5764,,0,,,0,,0,117
66,119,16305,6537,,0,,,0,,0,131
66,119,16052,6571,,0,,,0,,0,129
66,118,15869,6392,,0,,,0,,0,127
66,118,15869,6392,,0,,,0,,0,125
65,112,15339,5740,,0,,,0,,0,107
63,110,15273,5812,,0,,,0,,0,99
65,117,16135,6491,,0,,,0,,0,123
65,115,15352,5935,,0,,,0,,0,103
69,126,16759,6758,,0,,,0,,0,140
65,115,15473,5958,,0,,,0,,0,116
66,117,15368,5928,,0,,,0,,0,122
64,112,15440,5961,,0,,,0,,0,87
69,123,16831,6735,,0,,,0,,0,128
65,113,15320,5839,,0,,,0,,0,101
69,124,16663,6665,,0,,,0,,0,144
65,117,16135,6491,,0,,,0,,0,125
66,117,16056,6426,,0,,,0,,0,126
69,123,16831,6735,,0,,,0,,0,129
