FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
66,120,16799,8823,,0,,,0,,0,134
58,102,15406,8118,,0,,,0,,0,117
61,108,15852,8208,,0,,,0,,0,81
61,106,15292,7675,,0,,,0,,0,99
63,115,16541,8834,,0,,,0,,0,129
61,106,15292,7675,,0,,,0,,0,118
63,111,15659,8034,,0,,,0,,0,116
60,106,15640,7910,,0,,,0,,0,84
62,109,15614,7986,,0,,,0,,0,101
63,113,16321,8457,,0,,,0,,0,127
58,102,16154,8667,,0,,,0,,0,209
63,115,16523,8837,,0,,,0,,0,126
66,120,17152,9137,,0,,,0,,0,144
67,120,16885,8925,,0,,,0,,0,128
63,112,15291,7862,,0,,,0,,0,103
62,108,15537,7811,,0,,,0,,0,107
63,113,16214,8451,,0,,,0,,0,126
67,120,16885,8925,,0,,,0,,0,129
64,115,16464,8631,,0,,,0,,0,131
62,110,15514,7824,,0,,,0,,0,88
63,111,15395,7768,,0,,,0,,0,117
62,110,15662,7888,,0,,,0,,0,115
58,102,15406,8118,,0,,,0,,0,93
67,122,17115,9156,,0,,,0,,0,141
63,114,16549,8544,,0,,,0,,0,127
63,115,16541,8834,,0,,,0,,0,129
63,113,16321,8457,,0,,,0,,0,123
63,113,16321,8457,,0,,,0,,0,125
63,114,16549,8544,,0,,,0,,0,125
63,113,15623,8081,,0,,,0,,0,122
62,108,15628,7876,,0,,,0,,0,87
62,110,15473,7778,,0,,,0,,0,99
63,113,16214,8451,,0,,,0,,0,127
