FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
108,236.0,15924,8703,,0,,,0,,0,183
95,212.0,18258,10661,,0,,,0,,0,150
140,285.0,17513,9555,,0,,,0,,0,201
93,211.0,17211,10071,,0,,,0,,0,152
101,221.0,15996,9218,,0,,,0,,0,204
78,174.0,16358,10085,,0,,,0,,0,150
108,236.0,15924,8703,,0,,,0,,0,176
80,179.0,15271,9232,,0,,,0,,0,116
136,279.0,17039,9271,,0,,,0,,0,211
144,297.0,18711,9982,,0,,,0,,0,175
88,196.0,18430,11201,,0,,,0,,0,154
115,247.0,18339,10496,,0,,,0,,0,175
154,309.0,19088,10229,,0,,,0,,0,192
81,178.0,17560,11045,,0,,,0,,0,176
87,196.0,16670,10122,,0,,,0,,0,146
72,156.0,16908,10357,,0,,,0,,0,150
69,148.0,15006,8868,,0,,,0,,0,135
75,158.0,16125,9711,,0,,,0,,0,149
62,127.0,14538,8178,,0,,,0,,0,118
90,204.0,17595,10579,,0,,,0,,0,157
99,220.0,18056,10461,,0,,,0,,0,176
133,275.0,17545,9647,,0,,,0,,0,206
67,143.0,14431,8724,,0,,,0,,0,128
81,179.0,17644,10919,,0,,,0,,0,161
78,166.0,17213,10648,,0,,,0,,0,135
78,172.0,16406,10067,,0,,,0,,0,135
75,158.0,16125,9711,,0,,,0,,0,124
170,,20250,10672,,0,,,0,,0,205
69,148.0,15006,8868,,0,,,0,,0,141
116,246.0,17870,9889,,0,,,0,,0,213
140,285.0,17513,9555,,0,,,0,,0,223
69,144.0,15427,9187,,0,,,0,,0,150
73,156.0,16326,9948,,0,,,0,,0,137
73,162.0,15223,9353,,0,,,0,,0,130
69,148.0,15006,8868,,0,,,0,,0,149
78,171.0,16987,10650,,0,,,0,,0,143
65,136.0,14761,8620,,0,,,0,,0,119
71,151.0,16572,9865,,0,,,0,,0,137
154,309.0,19088,10229,,0,,,0,,0,175
115,247.0,18339,10496,,0,,,0,,0,182
79,172.0,15826,9549,,0,,,0,,0,131
105,233.0,16265,9026,,0,,,0,,0,173
69,146.0,14961,8902,,0,,,0,,0,124
154,316.0,19023,10550,,0,,,0,,0,202
81,177.0,17818,11161,,0,,,0,,0,143
77,168.0,16806,10352,,0,,,0,,0,147
72,152.0,15743,9337,,0,,,0,,0,118
88,196.0,18430,11201,,0,,,0,,0,167
75,162.0,16522,10214,,0,,,0,,0,142
69,145.0,14408,8373,,0,,,0,,0,117
