FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
183,,33394,17314,,0,,,0,,0,223
147,269.0,26724,13220,,0,,,0,,0,175
128,249.0,28412,14274,,0,,,0,,0,148
92,183.0,24497,13001,,0,,,0,,0,137
89,175.0,23704,12279,,0,,,0,,0,142
99,199.0,22575,11539,,0,,,0,,0,138
99,198.0,24759,12995,,0,,,0,,0,143
113,224.0,26548,13675,,0,,,0,,0,161
183,,33394,17314,,0,,,0,,0,201
93,188.0,21331,10746,,0,,,0,,0,130
99,195.0,20552,10067,,0,,,0,,0,131
102,205.0,25456,13442,,0,,,0,,0,176
93,184.0,23863,12511,,0,,,0,,0,124
116,227.0,24831,12540,,0,,,0,,0,134
87,171.0,23643,12402,,0,,,0,,0,128
102,205.0,25814,13558,,0,,,0,,0,142
88,177.0,24304,12654,,0,,,0,,0,137
97,192.0,25192,13480,,0,,,0,,0,135
89,175.0,23704,12279,,0,,,0,,0,140
123,239.0,29538,15503,,0,,,0,,0,160
214,,24468,8748,,0,,,0,,0,205
151,288.0,28736,14876,,0,,,0,,0,182
126,245.0,30760,15948,,0,,,0,,0,152
200,,27472,12167,,0,,,0,,0,175
75,147.0,20573,10044,,0,,,0,,0,118
155,288.0,27300,13743,,0,,,0,,0,134
89,175.0,23704,12279,,0,,,0,,0,148
103,205.0,21134,10451,,0,,,0,,0,116
94,186.0,24584,12801,,0,,,0,,0,143
98,197.0,22651,11382,,0,,,0,,0,122
137,257.0,28524,14453,,0,,,0,,0,204
119,230.0,28600,15109,,0,,,0,,0,154
103,205.0,25665,13439,,0,,,0,,0,161
140,264.0,27229,13495,,0,,,0,,0,173
200,,27472,12167,,0,,,0,,0,192
126,244.0,30488,16026,,0,,,0,,0,150
88,173.0,23699,12168,,0,,,0,,0,124
97,196.0,24221,12628,,0,,,0,,0,137
155,288.0,27300,13743,,0,,,0,,0,147
92,183.0,24497,13001,,0,,,0,,0,144
94,189.0,24718,13082,,0,,,0,,0,142
102,205.0,25456,13442,,0,,,0,,0,161
196,,26466,10945,,0,,,0,,0,202
189,,31002,14757,,0,,,0,,0,175
84,166.0,20503,10279,,0,,,0,,0,117
116,227.0,24831,12540,,0,,,0,,0,146
104,205.0,25933,13727,,0,,,0,,0,139
181,,33252,17403,,0,,,0,,0,211
89,175.0,23704,12279,,0,,,0,,0,135
159,290.0,29973,15205,,0,,,0,,0,211
