FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
57,119,18480,9804,,0,,,0,,0,150
68,145,19102,10078,,0,,,0,,0,140
95,221,23995,12220,,0,,,0,,0,194
90,206,22949,11920,,0,,,0,,0,182
63,133,17560,8891,,0,,,0,,0,131
62,135,18318,9705,,0,,,0,,0,122
59,121,18969,9895,,0,,,0,,0,128
89,207,21756,10984,,0,,,0,,0,199
106,245,22090,10568,,0,,,0,,0,202
107,252,22518,10935,,0,,,0,,0,195
59,122,18608,9767,,0,,,0,,0,142
90,206,22949,11920,,0,,,0,,0,175
102,245,22151,10715,,0,,,0,,0,175
65,140,16348,8405,,0,,,0,,0,116
60,123,18275,9456,,0,,,0,,0,141
60,126,19036,10100,,0,,,0,,0,144
67,142,18933,10107,,0,,,0,,0,143
56,112,17652,9144,,0,,,0,,0,120
84,193,19815,9879,,0,,,0,,0,176
107,252,22518,10935,,0,,,0,,0,194
71,160,17942,9215,,0,,,0,,0,134
76,171,19878,10372,,0,,,0,,0,175
78,178,19232,9975,,0,,,0,,0,148
67,148,18773,9842,,0,,,0,,0,161
54,114,15522,7623,,0,,,0,,0,128
62,133,19083,10305,,0,,,0,,0,136
110,260,22391,10565,,0,,,0,,0,175
61,127,19153,9992,,0,,,0,,0,151
61,127,19153,9992,,0,,,0,,0,175
99,233,21369,10378,,0,,,0,,0,206
82,189,20289,10283,,0,,,0,,0,173
76,177,19718,10326,,0,,,0,,0,176
79,186,18587,9484,,0,,,0,,0,213
73,163,20061,10691,,0,,,0,,0,167
59,123,16831,8426,,0,,,0,,0,114
84,193,19815,9879,,0,,,0,,0,183
62,129,18566,9777,,0,,,0,,0,149
59,123,17927,9636,,0,,,0,,0,119
124,285,21999,10126,,0,,,0,,0,205
117,270,21454,9779,,0,,,0,,0,196
110,260,22391,10565,,0,,,0,,0,192
63,132,18652,9741,,0,,,0,,0,143
71,160,17942,9215,,0,,,0,,0,147
63,133,18644,9729,,0,,,0,,0,142
59,122,18608,9767,,0,,,0,,0,135
62,129,18566,9777,,0,,,0,,0,124
63,137,18313,9666,,0,,,0,,0,150
64,137,18907,10022,,0,,,0,,0,143
76,171,19878,10372,,0,,,0,,0,150
65,137,18699,9658,,0,,,0,,0,137
