FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
106,214.0,30346,17671,,0,,,0,,0,174
88,178.0,24816,14523,,0,,,0,,0,139
85,166.0,22138,12487,,0,,,0,,0,142
80,160.0,21442,11606,,0,,,0,,0,149
111,222.0,27356,15687,,0,,,0,,0,148
118,236.0,27878,15788,,0,,,0,,0,183
83,163.0,19557,10373,,0,,,0,,0,131
102,204.0,30028,17753,,0,,,0,,0,154
72,141.0,17220,8799,,0,,,0,,0,128
69,131.0,20175,10595,,0,,,0,,0,118
163,,29681,15688,,0,,,0,,0,202
90,179.0,24856,14324,,0,,,0,,0,161
84,166.0,22116,12151,,0,,,0,,0,147
98,196.0,27770,16248,,0,,,0,,0,161
118,236.0,27878,15788,,0,,,0,,0,175
105,212.0,28452,16427,,0,,,0,,0,157
169,,29656,15621,,0,,,0,,0,196
81,161.0,22515,12534,,0,,,0,,0,137
110,223.0,29100,16929,,0,,,0,,0,176
100,200.0,26029,15038,,0,,,0,,0,146
103,205.0,23662,13312,,0,,,0,,0,129
127,255.0,27629,15068,,0,,,0,,0,199
127,251.0,27463,14941,,0,,,0,,0,213
79,157.0,21340,11575,,0,,,0,,0,150
79,157.0,18049,9256,,0,,,0,,0,130
75,150.0,20648,11147,,0,,,0,,0,150
106,214.0,30346,17671,,0,,,0,,0,150
184,,25028,11899,,0,,,0,,0,212
127,251.0,27463,14941,,0,,,0,,0,229
86,171.0,22386,12328,,0,,,0,,0,150
91,181.0,21197,11859,,0,,,0,,0,128
84,168.0,23474,13236,,0,,,0,,0,135
77,152.0,20471,10975,,0,,,0,,0,149
79,157.0,21340,11575,,0,,,0,,0,175
77,153.0,20772,11355,,0,,,0,,0,141
103,209.0,29072,16920,,0,,,0,,0,160
82,162.0,22261,12424,,0,,,0,,0,143
158,,30317,16107,,0,,,0,,0,175
145,284.0,27130,14271,,0,,,0,,0,211
86,170.0,22142,12307,,0,,,0,,0,122
91,178.0,21479,11938,,0,,,0,,0,116
79,157.0,20987,11419,,0,,,0,,0,118
78,152.0,20256,10913,,0,,,0,,0,137
107,216.0,29144,16992,,0,,,0,,0,152
77,152.0,20471,10975,,0,,,0,,0,142
94,188.0,26601,15599,,0,,,0,,0,161
130,257.0,27809,15072,,0,,,0,,0,211
71,138.0,17407,8765,,0,,,0,,0,117
149,295.0,28519,15285,,0,,,0,,0,223
76,151.0,20447,10991,,0,,,0,,0,128
