FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
61,123,5903,2743,,0,,,0,,0,117
116,239,7610,3169,,0,,,0,,0,211
57,113,6307,2983,,0,,,0,,0,118
69,140,6022,2887,,0,,,0,,0,130
67,138,6997,3323,,0,,,0,,0,151
101,210,7806,3380,,0,,,0,,0,214
65,133,6782,3246,,0,,,0,,0,141
86,177,7069,3459,,0,,,0,,0,157
117,244,7458,3148,,0,,,0,,0,202
81,177,7849,3772,,0,,,0,,0,167
105,217,7108,3233,,0,,,0,,0,134
145,290,7625,3031,,0,,,0,,0,212
65,133,6782,3246,,0,,,0,,0,135
83,177,7205,3494,,0,,,0,,0,134
137,283,7609,3100,,0,,,0,,0,205
75,156,5682,2762,,0,,,0,,0,116
86,187,8088,3924,,0,,,0,,0,175
93,193,7627,3544,,0,,,0,,0,213
71,148,6424,3085,,0,,,0,,0,122
76,156,6863,3375,,0,,,0,,0,143
63,127,6205,2804,,0,,,0,,0,128
66,134,6644,3174,,0,,,0,,0,141
101,210,7806,3380,,0,,,0,,0,229
67,139,6790,3398,,0,,,0,,0,144
81,177,7849,3772,,0,,,0,,0,154
89,185,7239,3475,,0,,,0,,0,148
94,194,7889,3626,,0,,,0,,0,173
65,132,7229,3406,,0,,,0,,0,150
76,158,6988,3403,,0,,,0,,0,161
114,237,7677,3300,,0,,,0,,0,206
101,210,7925,3514,,0,,,0,,0,199
95,196,7498,3460,,0,,,0,,0,204
69,141,6667,3266,,0,,,0,,0,149
75,153,5345,2569,,0,,,0,,0,128
81,172,7469,3650,,0,,,0,,0,161
101,209,8298,3690,,0,,,0,,0,182
119,251,7402,3155,,0,,,0,,0,195
86,187,8088,3924,,0,,,0,,0,150
97,198,7667,3462,,0,,,0,,0,176
72,150,6609,3233,,0,,,0,,0,143
91,194,8778,4251,,0,,,0,,0,152
131,270,7586,3096,,0,,,0,,0,196
65,131,6945,3392,,0,,,0,,0,128
71,149,6390,3104,,0,,,0,,0,138
68,138,6773,3231,,0,,,0,,0,118
69,141,6667,3266,,0,,,0,,0,124
71,145,6209,2888,,0,,,0,,0,131
85,184,7813,3778,,0,,,0,,0,160
67,139,6790,3398,,0,,,0,,0,137
65,133,6782,3246,,0,,,0,,0,142
