FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
150,232.0,16919,6554,,0,,,0,,0,174
107,165.0,14040,5309,,0,,,0,,0,124
115,176.0,12920,4717,,0,,,0,,0,130
195,305.0,18344,6905,,0,,,0,,0,193
132,204.0,15361,5943,,0,,,0,,0,161
136,211.0,16207,6319,,0,,,0,,0,161
108,167.0,14484,5438,,0,,,0,,0,135
146,224.0,14069,5258,,0,,,0,,0,129
94,144.0,12155,4191,,0,,,0,,0,118
188,277.0,17391,6675,,0,,,0,,0,211
164,247.0,16829,6462,,0,,,0,,0,213
111,171.0,14595,5459,,0,,,0,,0,140
130,199.0,13402,5184,,0,,,0,,0,128
124,189.0,13929,5298,,0,,,0,,0,150
115,178.0,14396,5603,,0,,,0,,0,149
114,177.0,14520,5678,,0,,,0,,0,144
120,184.0,13778,5181,,0,,,0,,0,142
114,177.0,14520,5678,,0,,,0,,0,137
149,229.0,16123,5968,,0,,,0,,0,157
183,271.0,17705,6835,,0,,,0,,0,229
141,220.0,16904,6683,,0,,,0,,0,167
187,278.0,16851,6513,,0,,,0,,0,147
117,179.0,13935,5299,,0,,,0,,0,143
183,276.0,18509,7071,,0,,,0,,0,198
250,,11967,1878,,0,,,0,,0,205
107,166.0,14520,5537,,0,,,0,,0,150
121,186.0,13660,5220,,0,,,0,,0,137
255,,12273,1890,,0,,,0,,0,212
171,258.0,17778,6823,,0,,,0,,0,183
127,196.0,14804,5843,,0,,,0,,0,161
108,167.0,14484,5438,,0,,,0,,0,140
187,278.0,16851,6513,,0,,,0,,0,134
142,218.0,15429,5862,,0,,,0,,0,146
228,,15008,4213,,0,,,0,,0,192
215,,17293,6319,,0,,,0,,0,223
183,271.0,17705,6835,,0,,,0,,0,213
129,195.0,13344,5144,,0,,,0,,0,116
146,228.0,16647,6503,,0,,,0,,0,160
171,258.0,17778,6823,,0,,,0,,0,175
132,204.0,15361,5943,,0,,,0,,0,176
120,182.0,12392,4535,,0,,,0,,0,131
111,172.0,14371,5498,,0,,,0,,0,150
206,311.0,17538,6421,,0,,,0,,0,206
155,240.0,16752,6507,,0,,,0,,0,176
103,157.0,11989,4183,,0,,,0,,0,128
123,188.0,13739,5222,,0,,,0,,0,135
238,,13304,2829,,0,,,0,,0,202
228,,15008,4213,,0,,,0,,0,175
238,,13288,3164,,0,,,0,,0,196
110,167.0,12573,4405,,0,,,0,,0,114
