FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
79,151,13325,4044,,0,,,0,,0,135
128,246,15616,4298,,0,,,0,,0,206
164,304,18447,4764,,0,,,0,,0,205
73,136,13833,4273,,0,,,0,,0,175
82,156,14061,4406,,0,,,0,,0,161
70,130,13462,3986,,0,,,0,,0,142
75,142,13605,4228,,0,,,0,,0,142
78,149,13845,4393,,0,,,0,,0,143
70,129,13202,3889,,0,,,0,,0,141
137,265,16394,4585,,0,,,0,,0,195
79,151,13325,4044,,0,,,0,,0,122
131,249,15913,4250,,0,,,0,,0,211
100,198,14348,4237,,0,,,0,,0,204
109,214,15126,4314,,0,,,0,,0,175
99,195,16021,4674,,0,,,0,,0,176
70,127,12624,3670,,0,,,0,,0,117
141,269,16679,4426,,0,,,0,,0,175
72,133,13697,4083,,0,,,0,,0,138
100,197,14976,4301,,0,,,0,,0,213
82,157,14520,4559,,0,,,0,,0,161
94,185,15686,4857,,0,,,0,,0,175
82,157,12304,3728,,0,,,0,,0,116
89,174,15483,4904,,0,,,0,,0,154
75,139,13633,4137,,0,,,0,,0,124
94,185,15686,4857,,0,,,0,,0,150
73,138,13027,4016,,0,,,0,,0,114
104,207,14355,4044,,0,,,0,,0,173
91,176,14866,4703,,0,,,0,,0,160
89,173,13845,4209,,0,,,0,,0,134
75,139,13633,4137,,0,,,0,,0,149
70,128,13572,3889,,0,,,0,,0,150
82,157,14606,4574,,0,,,0,,0,140
110,216,14732,4091,,0,,,0,,0,229
96,191,15857,4733,,0,,,0,,0,152
73,137,13956,4274,,0,,,0,,0,144
113,222,13953,3844,,0,,,0,,0,147
69,127,13046,3857,,0,,,0,,0,128
78,148,13553,4181,,0,,,0,,0,147
73,135,13655,4167,,0,,,0,,0,118
71,130,13622,3986,,0,,,0,,0,128
113,222,13953,3844,,0,,,0,,0,134
70,128,13252,3889,,0,,,0,,0,124
82,157,14520,4559,,0,,,0,,0,177
79,152,13245,4067,,0,,,0,,0,150
89,173,13845,4209,,0,,,0,,0,147
151,283,16889,4418,,0,,,0,,0,192
122,240,15764,4391,,0,,,0,,0,194
92,182,13272,3912,,0,,,0,,0,129
75,141,13729,4260,,0,,,0,,0,143
76,144,13820,4377,,0,,,0,,0,135
