FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
114,218.0,18758,7846,,0,,,0,,0,129
94,182.0,19444,8455,,0,,,0,,0,122
148,268.0,22117,9152,,0,,,0,,0,211
204,,20989,6400,,0,,,0,,0,205
117,225.0,22786,9860,,0,,,0,,0,174
90,175.0,20705,9417,,0,,,0,,0,135
140,261.0,22777,9775,,0,,,0,,0,199
152,289.0,24684,10301,,0,,,0,,0,194
79,151.0,15904,6439,,0,,,0,,0,128
100,194.0,18202,7722,,0,,,0,,0,128
96,189.0,21608,9874,,0,,,0,,0,161
76,144.0,17708,7438,,0,,,0,,0,119
146,267.0,21006,8803,,0,,,0,,0,134
82,157.0,17909,7542,,0,,,0,,0,135
96,189.0,21608,9874,,0,,,0,,0,176
95,183.0,19356,8571,,0,,,0,,0,138
106,206.0,18771,7908,,0,,,0,,0,134
183,,24205,9167,,0,,,0,,0,202
71,133.0,17659,7423,,0,,,0,,0,118
87,166.0,19185,8327,,0,,,0,,0,124
80,155.0,18101,7657,,0,,,0,,0,128
96,188.0,21582,9907,,0,,,0,,0,139
85,164.0,19280,8305,,0,,,0,,0,150
142,260.0,23019,9744,,0,,,0,,0,213
109,211.0,21327,9502,,0,,,0,,0,167
93,180.0,19965,8852,,0,,,0,,0,137
128,240.0,22236,9490,,0,,,0,,0,204
187,,24057,9144,,0,,,0,,0,196
113,216.0,21631,9438,,0,,,0,,0,160
85,164.0,19280,8305,,0,,,0,,0,175
142,260.0,23019,9744,,0,,,0,,0,229
85,165.0,19969,8859,,0,,,0,,0,137
109,211.0,21327,9502,,0,,,0,,0,154
121,232.0,22526,9818,,0,,,0,,0,176
169,,25594,10767,,0,,,0,,0,194
174,,26457,10893,,0,,,0,,0,175
97,187.0,18179,7856,,0,,,0,,0,116
167,303.0,24118,10070,,0,,,0,,0,201
165,297.0,24505,10015,,0,,,0,,0,211
138,264.0,23713,10394,,0,,,0,,0,175
90,172.0,19635,8781,,0,,,0,,0,142
190,,24708,9546,,0,,,0,,0,192
167,303.0,24118,10070,,0,,,0,,0,223
138,264.0,23713,10394,,0,,,0,,0,182
138,253.0,22497,9631,,0,,,0,,0,183
89,170.0,19788,8735,,0,,,0,,0,143
160,294.0,23891,9933,,0,,,0,,0,206
93,178.0,19737,8553,,0,,,0,,0,147
132,248.0,22201,9489,,0,,,0,,0,173
94,182.0,19444,8455,,0,,,0,,0,135
