FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
100,203.0,21087,11619,,0,,,0,,0,148
85,168.0,22249,13217,,0,,,0,,0,176
73,137.0,18991,11432,,0,,,0,,0,124
72,136.0,16926,10105,,0,,,0,,0,117
95,188.0,22900,13344,,0,,,0,,0,160
119,236.0,19428,10265,,0,,,0,,0,134
86,171.0,18302,10385,,0,,,0,,0,128
120,236.0,20917,10934,,0,,,0,,0,211
73,139.0,19044,11375,,0,,,0,,0,149
76,145.0,19300,11161,,0,,,0,,0,118
83,163.0,18801,10781,,0,,,0,,0,138
157,297.0,24080,12287,,0,,,0,,0,175
82,160.0,20041,11705,,0,,,0,,0,137
76,146.0,20297,11746,,0,,,0,,0,175
105,210.0,20614,11402,,0,,,0,,0,204
138,264.0,22503,11714,,0,,,0,,0,211
92,183.0,22484,13282,,0,,,0,,0,161
104,210.0,21380,11589,,0,,,0,,0,213
143,281.0,22757,12120,,0,,,0,,0,194
173,,25308,13181,,0,,,0,,0,212
78,152.0,20014,11695,,0,,,0,,0,142
98,198.0,22925,13110,,0,,,0,,0,175
79,154.0,20389,12042,,0,,,0,,0,135
78,151.0,17981,10147,,0,,,0,,0,130
70,129.0,19187,11684,,0,,,0,,0,119
93,185.0,20718,12066,,0,,,0,,0,146
72,136.0,17409,10503,,0,,,0,,0,128
81,158.0,19304,11177,,0,,,0,,0,147
82,162.0,18983,10965,,0,,,0,,0,122
110,219.0,20739,11170,,0,,,0,,0,173
73,139.0,19044,11375,,0,,,0,,0,141
93,187.0,23887,13949,,0,,,0,,0,167
114,228.0,22082,12257,,0,,,0,,0,182
73,139.0,19044,11375,,0,,,0,,0,142
76,147.0,17350,9708,,0,,,0,,0,114
119,236.0,19428,10265,,0,,,0,,0,147
128,256.0,23150,12477,,0,,,0,,0,194
86,167.0,22238,13235,,0,,,0,,0,140
73,139.0,19677,11817,,0,,,0,,0,128
82,162.0,18983,10965,,0,,,0,,0,135
83,161.0,17333,9688,,0,,,0,,0,131
93,187.0,23887,13949,,0,,,0,,0,154
76,146.0,20297,11746,,0,,,0,,0,150
72,138.0,19057,11376,,0,,,0,,0,141
85,168.0,22249,13217,,0,,,0,,0,161
76,147.0,20279,12057,,0,,,0,,0,137
82,160.0,20623,12197,,0,,,0,,0,143
154,302.0,24094,12678,,0,,,0,,0,202
143,281.0,22757,12120,,0,,,0,,0,195
157,297.0,24080,12287,,0,,,0,,0,192
