FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
190,,27763,9892,,0,,,0,,0,195
199,,26791,9340,,0,,,0,,0,192
137,274.0,24909,11081,,0,,,0,,0,213
90,185.0,23758,10862,,0,,,0,,0,137
93,196.0,20969,9267,,0,,,0,,0,130
123,253.0,25752,11902,,0,,,0,,0,150
76,151.0,21026,8630,,0,,,0,,0,118
121,242.0,22097,9369,,0,,,0,,0,146
84,172.0,21222,9342,,0,,,0,,0,117
92,190.0,23621,11095,,0,,,0,,0,149
89,184.0,23356,10996,,0,,,0,,0,118
185,,28658,11927,,0,,,0,,0,211
123,250.0,19045,7804,,0,,,0,,0,129
112,236.0,25379,12136,,0,,,0,,0,167
88,179.0,23382,10565,,0,,,0,,0,124
82,165.0,21857,9523,,0,,,0,,0,119
145,279.0,25221,11282,,0,,,0,,0,183
123,254.0,25039,11343,,0,,,0,,0,152
89,182.0,23463,10714,,0,,,0,,0,140
103,215.0,24480,11556,,0,,,0,,0,161
89,182.0,23463,10714,,0,,,0,,0,142
153,301.0,27375,12276,,0,,,0,,0,198
103,214.0,19960,8544,,0,,,0,,0,116
123,253.0,25322,11885,,0,,,0,,0,160
98,204.0,22807,10415,,0,,,0,,0,136
121,242.0,22097,9369,,0,,,0,,0,134
88,182.0,23510,10862,,0,,,0,,0,140
214,,23235,6250,,0,,,0,,0,205
151,309.0,26776,12267,,0,,,0,,0,175
161,309.0,27407,12448,,0,,,0,,0,211
98,202.0,22841,10482,,0,,,0,,0,147
138,275.0,24743,10935,,0,,,0,,0,173
205,,25023,7964,,0,,,0,,0,196
157,301.0,27410,12512,,0,,,0,,0,213
167,314.0,27795,12598,,0,,,0,,0,147
103,217.0,24883,11940,,0,,,0,,0,161
99,205.0,22282,10094,,0,,,0,,0,122
185,,28158,11474,,0,,,0,,0,223
100,207.0,24275,11583,,0,,,0,,0,143
204,,24820,7460,,0,,,0,,0,202
89,182.0,23463,10714,,0,,,0,,0,135
99,207.0,22425,10054,,0,,,0,,0,150
137,275.0,24874,10972,,0,,,0,,0,204
158,,29663,13207,,0,,,0,,0,193
190,,27763,9892,,0,,,0,,0,194
151,309.0,26776,12267,,0,,,0,,0,182
135,268.0,24010,10469,,0,,,0,,0,147
199,,26791,9340,,0,,,0,,0,175
167,314.0,27795,12598,,0,,,0,,0,134
97,202.0,20502,8724,,0,,,0,,0,131
