FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
93,195,6831,3672,,0,,,0,,0,129
92,189,8934,4816,,0,,,0,,0,150
72,141,8873,4801,,0,,,0,,0,149
69,134,8192,4485,,0,,,0,,0,128
79,163,8976,5186,,0,,,0,,0,122
88,177,9245,5312,,0,,,0,,0,154
133,263,7729,3554,,0,,,0,,0,175
74,146,8964,5086,,0,,,0,,0,137
86,174,8969,4995,,0,,,0,,0,161
81,163,9027,5147,,0,,,0,,0,161
67,127,8072,4303,,0,,,0,,0,119
101,209,7796,3969,,0,,,0,,0,173
123,237,6537,3126,,0,,,0,,0,134
116,231,7359,3529,,0,,,0,,0,211
173,313,8744,4059,,0,,,0,,0,212
97,197,8863,4703,,0,,,0,,0,176
101,207,7822,3962,,0,,,0,,0,148
79,163,8976,5186,,0,,,0,,0,135
108,215,7796,3880,,0,,,0,,0,183
77,156,9605,5394,,0,,,0,,0,135
73,147,8901,4971,,0,,,0,,0,150
108,215,7796,3880,,0,,,0,,0,176
116,233,8213,4139,,0,,,0,,0,194
91,188,8349,4530,,0,,,0,,0,146
133,260,7249,3458,,0,,,0,,0,201
73,150,7235,4243,,0,,,0,,0,130
76,149,8443,4824,,0,,,0,,0,142
72,142,8930,4898,,0,,,0,,0,141
137,271,7550,3532,,0,,,0,,0,194
137,271,7550,3532,,0,,,0,,0,195
74,146,8420,4763,,0,,,0,,0,124
113,226,8105,4080,,0,,,0,,0,175
133,260,7249,3458,,0,,,0,,0,223
72,141,8873,4801,,0,,,0,,0,135
91,188,8349,4530,,0,,,0,,0,134
78,161,8906,5031,,0,,,0,,0,131
93,192,8591,4656,,0,,,0,,0,152
102,208,8183,4314,,0,,,0,,0,204
92,189,8934,4816,,0,,,0,,0,175
73,147,8901,4971,,0,,,0,,0,175
81,168,9519,5410,,0,,,0,,0,143
78,157,8541,4942,,0,,,0,,0,150
104,209,8494,4309,,0,,,0,,0,213
144,277,7765,3514,,0,,,0,,0,175
152,287,8331,3838,,0,,,0,,0,196
82,169,9821,5684,,0,,,0,,0,140
72,141,8873,4801,,0,,,0,,0,141
74,146,8420,4763,,0,,,0,,0,149
92,188,8833,4860,,0,,,0,,0,160
72,139,8777,4801,,0,,,0,,0,124
