FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
99,212.0,21946,9714,,0,,,0,,0,176
91,193.0,19601,7885,,0,,,0,,0,130
93,197.0,19571,7960,,0,,,0,,0,131
198,,23553,6850,,0,,,0,,0,196
182,,25506,8276,,0,,,0,,0,195
108,231.0,22810,10052,,0,,,0,,0,167
95,202.0,20003,8303,,0,,,0,,0,150
118,244.0,17653,6572,,0,,,0,,0,129
196,,23573,6548,,0,,,0,,0,202
88,186.0,21537,9110,,0,,,0,,0,144
93,195.0,21780,9385,,0,,,0,,0,142
130,263.0,21604,8587,,0,,,0,,0,147
204,,23411,6260,,0,,,0,,0,205
144,302.0,23498,9646,,0,,,0,,0,175
122,256.0,23392,9731,,0,,,0,,0,175
108,231.0,22810,10052,,0,,,0,,0,154
90,187.0,21380,8994,,0,,,0,,0,149
99,209.0,22175,9567,,0,,,0,,0,139
95,200.0,21048,8802,,0,,,0,,0,136
145,294.0,22906,9047,,0,,,0,,0,198
120,249.0,21964,8960,,0,,,0,,0,157
93,197.0,21007,8925,,0,,,0,,0,147
81,169.0,18877,7511,,0,,,0,,0,117
95,201.0,21631,9422,,0,,,0,,0,143
176,,25846,9783,,0,,,0,,0,211
84,176.0,20714,8520,,0,,,0,,0,135
132,269.0,22284,8922,,0,,,0,,0,213
98,209.0,22194,9498,,0,,,0,,0,142
136,273.0,21189,8237,,0,,,0,,0,175
94,197.0,22049,9491,,0,,,0,,0,135
84,176.0,20714,8520,,0,,,0,,0,148
107,227.0,22175,9425,,0,,,0,,0,161
118,249.0,23027,9517,,0,,,0,,0,152
168,,25766,9976,,0,,,0,,0,206
133,270.0,22048,8730,,0,,,0,,0,173
116,237.0,19728,7685,,0,,,0,,0,146
182,,25506,8276,,0,,,0,,0,194
218,,20031,4242,,0,,,0,,0,212
84,173.0,20503,8280,,0,,,0,,0,128
74,148.0,18737,6840,,0,,,0,,0,118
88,184.0,21486,8999,,0,,,0,,0,150
84,176.0,20714,8520,,0,,,0,,0,140
86,180.0,20885,8760,,0,,,0,,0,137
86,178.0,20998,8640,,0,,,0,,0,140
99,212.0,21946,9714,,0,,,0,,0,161
179,,26337,9197,,0,,,0,,0,175
94,200.0,20537,8570,,0,,,0,,0,122
158,308.0,22724,8938,,0,,,0,,0,134
130,268.0,21539,8589,,0,,,0,,0,204
80,161.0,19740,7560,,0,,,0,,0,119
