FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
64,148,12335,6568,,0,,,0,,0,178
61,140,12731,6732,,0,,,0,,0,153
54,112,12012,5761,,0,,,0,,0,148
61,139,12627,6778,,0,,,0,,0,153
59,127,11890,6009,,0,,,0,,0,161
64,148,12548,6691,,0,,,0,,0,156
64,148,12398,6612,,0,,,0,,0,170
66,151,12377,6564,,0,,,0,,0,220
61,140,12731,6732,,0,,,0,,0,158
61,139,12260,6411,,0,,,0,,0,178
66,153,13101,6937,,0,,,0,,0,168
55,118,11710,5854,,0,,,0,,0,175
64,148,12335,6568,,0,,,0,,0,177
68,162,13317,7093,,0,,,0,,0,189
64,148,12548,6691,,0,,,0,,0,154
64,148,12335,6568,,0,,,0,,0,170
54,113,11534,5654,,0,,,0,,0,148
63,140,11859,6053,,0,,,0,,0,178
61,139,12214,6377,,0,,,0,,0,187
53,110,11676,5601,,0,,,0,,0,137
56,123,12520,6343,,0,,,0,,0,140
80,189,13687,6973,,0,,,0,,0,218
48,96,12503,5752,,0,,,0,,0,147
64,148,12398,6612,,0,,,0,,0,164
64,144,12725,6676,,0,,,0,,0,188
56,122,11630,5814,,0,,,0,,0,202
60,137,12310,6400,,0,,,0,,0,165
64,148,12335,6568,,0,,,0,,0,189
61,137,13315,6950,,0,,,0,,0,154
61,139,12214,6377,,0,,,0,,0,176
54,112,12012,5761,,0,,,0,,0,161
72,168,13639,7305,,0,,,0,,0,199
66,153,13101,6937,,0,,,0,,0,186
65,144,12338,6428,,0,,,0,,0,199
