FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
78,175,18562,11267,,0,,,0,,0,199
56,115,15074,8767,,0,,,0,,0,148
68,154,17257,10743,,0,,,0,,0,170
70,157,17518,10861,,0,,,0,,0,220
68,154,17257,10743,,0,,,0,,0,178
70,156,18649,11330,,0,,,0,,0,170
65,145,16687,10254,,0,,,0,,0,158
68,154,17584,10953,,0,,,0,,0,156
61,130,15107,8937,,0,,,0,,0,161
68,154,17257,10743,,0,,,0,,0,177
65,144,16357,10089,,0,,,0,,0,187
56,115,15074,8767,,0,,,0,,0,161
68,154,17584,10953,,0,,,0,,0,154
65,145,16687,10254,,0,,,0,,0,153
50,99,15029,8421,,0,,,0,,0,147
55,113,14663,8508,,0,,,0,,0,137
59,127,16554,9766,,0,,,0,,0,140
63,140,16745,10260,,0,,,0,,0,154
68,149,17962,11036,,0,,,0,,0,188
65,144,16075,9877,,0,,,0,,0,178
57,117,15028,8605,,0,,,0,,0,148
59,123,15287,8867,,0,,,0,,0,175
68,154,17257,10743,,0,,,0,,0,189
71,159,18621,11524,,0,,,0,,0,168
67,146,16523,10179,,0,,,0,,0,178
70,156,18649,11330,,0,,,0,,0,164
69,149,17476,10792,,0,,,0,,0,199
60,127,15627,9162,,0,,,0,,0,202
71,159,18621,11524,,0,,,0,,0,186
65,142,16472,9957,,0,,,0,,0,165
83,192,17983,10604,,0,,,0,,0,218
65,144,16609,10247,,0,,,0,,0,153
65,144,16357,10089,,0,,,0,,0,176
73,168,18071,11237,,0,,,0,,0,188
