FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
107,208,24544,12876,,0,,,0,,0,170
121,229,27574,14149,,0,,,0,,0,199
87,169,21989,11071,,0,,,0,,0,202
115,220,24772,12513,,0,,,0,,0,188
107,212,24804,12933,,0,,,0,,0,168
105,208,24821,13009,,0,,,0,,0,154
107,208,24544,12876,,0,,,0,,0,189
104,198,23456,12103,,0,,,0,,0,199
91,176,22029,11216,,0,,,0,,0,161
101,198,24404,12586,,0,,,0,,0,158
97,192,24187,12469,,0,,,0,,0,154
86,164,21643,10707,,0,,,0,,0,174
88,172,22918,11669,,0,,,0,,0,139
99,196,23966,12576,,0,,,0,,0,153
105,208,24821,13009,,0,,,0,,0,156
107,208,24544,12876,,0,,,0,,0,178
101,195,23261,11901,,0,,,0,,0,187
101,195,23261,11901,,0,,,0,,0,175
80,153,20327,9854,,0,,,0,,0,147
82,155,20757,10153,,0,,,0,,0,147
138,255,28112,14301,,0,,,0,,0,217
79,150,19856,9728,,0,,,0,,0,137
107,209,24632,12924,,0,,,0,,0,163
101,196,23318,11973,,0,,,0,,0,178
99,193,23321,12112,,0,,,0,,0,165
104,200,24323,12410,,0,,,0,,0,188
107,208,24544,12876,,0,,,0,,0,176
101,198,24404,12586,,0,,,0,,0,153
103,197,23261,12093,,0,,,0,,0,177
70,131,18694,8525,,0,,,0,,0,147
107,212,24804,12933,,0,,,0,,0,186
108,208,23277,11877,,0,,,0,,0,220
80,153,20327,9854,,0,,,0,,0,161
107,209,24632,12924,,0,,,0,,0,170
