FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
64,132,7840,4374,,0,,,0,,0,140
81,168,8610,4870,,0,,,0,,0,163
72,143,7509,4110,,0,,,0,,0,161
76,156,8309,4534,,0,,,0,,0,153
81,168,8611,4865,,0,,,0,,0,177
78,157,8339,4540,,0,,,0,,0,176
82,171,8660,4852,,0,,,0,,0,168
77,163,7864,4433,,0,,,0,,0,220
81,169,8678,4900,,0,,,0,,0,154
81,168,8610,4870,,0,,,0,,0,170
66,131,7910,4252,,0,,,0,,0,175
78,158,7797,4285,,0,,,0,,0,178
81,169,8678,4900,,0,,,0,,0,156
55,106,7207,3373,,0,,,0,,0,147
74,156,8101,4531,,0,,,0,,0,158
75,155,7693,4239,,0,,,0,,0,199
62,122,7643,4021,,0,,,0,,0,161
65,124,7571,4068,,0,,,0,,0,137
65,132,7715,4224,,0,,,0,,0,202
81,168,8611,4865,,0,,,0,,0,178
74,156,8101,4531,,0,,,0,,0,153
80,175,8661,4827,,0,,,0,,0,188
73,150,7974,4382,,0,,,0,,0,165
62,122,7643,4021,,0,,,0,,0,148
82,171,8660,4852,,0,,,0,,0,186
73,150,8582,4716,,0,,,0,,0,154
81,168,8611,4865,,0,,,0,,0,189
78,157,8339,4540,,0,,,0,,0,187
77,156,8032,4442,,0,,,0,,0,178
65,127,7628,3991,,0,,,0,,0,147
79,160,8431,4643,,0,,,0,,0,188
87,183,9663,5282,,0,,,0,,0,199
81,168,8611,4865,,0,,,0,,0,170
94,192,9030,4844,,0,,,0,,0,218
