FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
92,186,25428,14780,,0,,,0,,0,220
87,175,23514,13327,,0,,,0,,0,178
97,195,26346,15490,,0,,,0,,0,186
94,189,25667,15115,,0,,,0,,0,170
94,189,25667,15115,,0,,,0,,0,178
87,176,23853,13803,,0,,,0,,0,153
97,195,26346,15490,,0,,,0,,0,168
86,177,23748,13730,,0,,,0,,0,153
102,205,27761,16108,,0,,,0,,0,199
90,178,23220,13375,,0,,,0,,0,177
88,175,23109,13098,,0,,,0,,0,176
87,173,23268,13236,,0,,,0,,0,165
81,160,20501,11202,,0,,,0,,0,161
76,147,19743,10324,,0,,,0,,0,175
94,190,26080,15473,,0,,,0,,0,154
89,178,23611,13598,,0,,,0,,0,188
85,171,23186,13168,,0,,,0,,0,154
94,190,26080,15473,,0,,,0,,0,156
93,189,25715,15046,,0,,,0,,0,163
72,139,19811,10571,,0,,,0,,0,148
73,139,19398,10259,,0,,,0,,0,137
77,153,20569,11096,,0,,,0,,0,139
64,120,19658,9871,,0,,,0,,0,147
113,228,27029,15478,,0,,,0,,0,217
97,199,26701,15512,,0,,,0,,0,188
94,189,25667,15115,,0,,,0,,0,189
88,175,23109,13098,,0,,,0,,0,187
93,189,25715,15046,,0,,,0,,0,170
77,152,19869,10435,,0,,,0,,0,202
72,139,19811,10571,,0,,,0,,0,161
74,142,19386,10186,,0,,,0,,0,147
94,189,25667,15115,,0,,,0,,0,176
86,177,23748,13730,,0,,,0,,0,158
90,178,23846,13573,,0,,,0,,0,199
