FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
82,165,18714,8505,,0,,,0,,0,220
57,105,16493,6370,,0,,,0,,0,147
66,123,17244,7167,,0,,,0,,0,137
85,170,19815,9185,,0,,,0,,0,168
84,167,19473,9064,,0,,,0,,0,170
68,130,17754,7607,,0,,,0,,0,175
78,155,17630,7876,,0,,,0,,0,178
97,200,22335,10110,,0,,,0,,0,218
79,155,18245,8034,,0,,,0,,0,176
84,168,19877,9147,,0,,,0,,0,156
73,141,17192,7415,,0,,,0,,0,161
75,150,17602,7884,,0,,,0,,0,165
86,176,20891,9637,,0,,,0,,0,188
85,170,19815,9185,,0,,,0,,0,186
81,165,19262,8813,,0,,,0,,0,178
77,154,18180,8005,,0,,,0,,0,199
81,165,19262,8813,,0,,,0,,0,170
64,122,17478,7314,,0,,,0,,0,148
81,165,19262,8813,,0,,,0,,0,189
69,134,17985,7705,,0,,,0,,0,202
84,167,19473,9064,,0,,,0,,0,163
76,155,18784,8426,,0,,,0,,0,158
84,168,19877,9147,,0,,,0,,0,154
78,155,18465,8244,,0,,,0,,0,153
76,150,18310,8048,,0,,,0,,0,154
80,158,18496,8327,,0,,,0,,0,188
76,155,18784,8426,,0,,,0,,0,153
81,165,19262,8813,,0,,,0,,0,177
69,134,18377,8112,,0,,,0,,0,140
66,125,17064,7083,,0,,,0,,0,147
64,122,17478,7314,,0,,,0,,0,161
78,154,18133,8042,,0,,,0,,0,178
88,179,20744,9800,,0,,,0,,0,199
79,155,18245,8034,,0,,,0,,0,187
