FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
105,183,12648,6298,,0,,,0,,0,189
99,173,12434,6200,,0,,,0,,0,158
98,170,11705,5759,,0,,,0,,0,187
114,198,12987,6411,,0,,,0,,0,199
81,137,10033,4376,,0,,,0,,0,161
97,169,11667,5726,,0,,,0,,0,178
104,184,12750,6424,,0,,,0,,0,154
100,173,11668,5598,,0,,,0,,0,177
94,165,11958,5728,,0,,,0,,0,154
102,180,12689,6321,,0,,,0,,0,220
85,147,10596,4947,,0,,,0,,0,139
97,170,11904,5855,,0,,,0,,0,153
80,135,9272,4060,,0,,,0,,0,137
108,192,13417,6553,,0,,,0,,0,188
104,183,12555,6271,,0,,,0,,0,170
105,183,12648,6298,,0,,,0,,0,170
104,184,12750,6424,,0,,,0,,0,156
84,142,9722,4433,,0,,,0,,0,175
91,155,10353,5015,,0,,,0,,0,161
98,170,11705,5759,,0,,,0,,0,176
99,173,11940,5817,,0,,,0,,0,188
106,186,12754,6472,,0,,,0,,0,186
104,183,12555,6271,,0,,,0,,0,163
128,221,13190,6490,,0,,,0,,0,217
99,173,12434,6200,,0,,,0,,0,153
105,183,12648,6298,,0,,,0,,0,178
81,138,9355,4250,,0,,,0,,0,147
85,147,10220,4747,,0,,,0,,0,202
69,115,9776,4187,,0,,,0,,0,147
96,167,11920,5760,,0,,,0,,0,165
81,137,10033,4376,,0,,,0,,0,148
100,172,12255,6003,,0,,,0,,0,199
105,183,12648,6298,,0,,,0,,0,177
106,186,12754,6472,,0,,,0,,0,168
