FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
72,143,19373,10924,,0,,,0,,0,137
90,183,24331,14712,,0,,,0,,0,176
89,183,24409,14860,,0,,,0,,0,153
87,178,24856,15165,,0,,,0,,0,154
89,182,24114,14614,,0,,,0,,0,178
92,185,24096,14628,,0,,,0,,0,177
91,186,24974,15290,,0,,,0,,0,188
75,148,19575,11091,,0,,,0,,0,147
96,197,26108,16336,,0,,,0,,0,163
96,197,26192,16360,,0,,,0,,0,170
86,177,23128,14101,,0,,,0,,0,165
104,213,28382,17351,,0,,,0,,0,199
90,183,24331,14712,,0,,,0,,0,187
96,198,26494,16674,,0,,,0,,0,154
96,200,26266,16491,,0,,,0,,0,186
75,151,20434,11632,,0,,,0,,0,175
89,183,24020,14653,,0,,,0,,0,199
96,200,26266,16491,,0,,,0,,0,168
99,207,28345,17342,,0,,,0,,0,188
96,198,26494,16674,,0,,,0,,0,156
116,237,28397,17298,,0,,,0,,0,217
88,184,25068,15602,,0,,,0,,0,153
88,184,25068,15602,,0,,,0,,0,158
96,197,26192,16360,,0,,,0,,0,189
76,156,20827,12157,,0,,,0,,0,139
83,167,20788,12138,,0,,,0,,0,161
79,158,20414,11640,,0,,,0,,0,202
96,197,26192,16360,,0,,,0,,0,178
96,197,26108,16336,,0,,,0,,0,170
74,145,19965,11220,,0,,,0,,0,148
96,197,26192,16360,,0,,,0,,0,176
74,145,19965,11220,,0,,,0,,0,161
63,123,19404,10734,,0,,,0,,0,147
94,194,26261,16271,,0,,,0,,0,220
