FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
74,142,6701,3143,,0,,,0,,0,175
97,185,7104,3416,,0,,,0,,0,199
82,160,6679,3268,,0,,,0,,0,153
94,188,7920,3781,,0,,,0,,0,188
89,173,7294,3606,,0,,,0,,0,186
85,168,6966,3367,,0,,,0,,0,170
82,162,7167,3536,,0,,,0,,0,154
76,147,6934,3305,,0,,,0,,0,140
81,157,6305,3080,,0,,,0,,0,178
89,178,7856,3844,,0,,,0,,0,163
85,167,6894,3398,,0,,,0,,0,156
79,152,6789,3152,,0,,,0,,0,161
85,168,6966,3367,,0,,,0,,0,178
85,169,7323,3559,,0,,,0,,0,187
82,160,6679,3268,,0,,,0,,0,158
89,178,7856,3844,,0,,,0,,0,170
85,167,6894,3398,,0,,,0,,0,154
61,113,6193,2725,,0,,,0,,0,147
80,154,6366,3122,,0,,,0,,0,165
85,168,6966,3367,,0,,,0,,0,189
80,156,6444,3146,,0,,,0,,0,153
107,205,6628,2995,,0,,,0,,0,218
84,165,6936,3302,,0,,,0,,0,188
85,168,6966,3367,,0,,,0,,0,177
74,143,6423,3076,,0,,,0,,0,202
85,169,7323,3559,,0,,,0,,0,176
70,131,6396,2984,,0,,,0,,0,137
71,134,6331,3033,,0,,,0,,0,147
70,133,6557,3116,,0,,,0,,0,148
88,170,6980,3346,,0,,,0,,0,220
84,162,6643,3166,,0,,,0,,0,178
70,133,6557,3116,,0,,,0,,0,161
89,173,7294,3606,,0,,,0,,0,168
86,162,6786,3248,,0,,,0,,0,199
