FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
72,132,13517,3851,,0,,,0,,0,161
83,160,15549,4836,,0,,,0,,0,220
67,125,13320,3791,,0,,,0,,0,202
81,157,15382,4826,,0,,,0,,0,178
88,174,15609,4804,,0,,,0,,0,199
81,157,15382,4826,,0,,,0,,0,177
67,124,13446,3791,,0,,,0,,0,140
77,144,14632,4360,,0,,,0,,0,165
78,149,15177,4650,,0,,,0,,0,199
81,160,15387,4803,,0,,,0,,0,186
66,117,12646,3403,,0,,,0,,0,148
74,139,14301,4278,,0,,,0,,0,154
64,115,12705,3403,,0,,,0,,0,148
77,148,15516,4657,,0,,,0,,0,158
78,150,15185,4612,,0,,,0,,0,188
81,157,15382,4826,,0,,,0,,0,189
77,148,15516,4657,,0,,,0,,0,153
64,115,12705,3403,,0,,,0,,0,161
65,115,12645,3305,,0,,,0,,0,137
81,157,15382,4826,,0,,,0,,0,170
82,166,15832,4940,,0,,,0,,0,188
81,157,15123,4852,,0,,,0,,0,170
79,149,14294,4388,,0,,,0,,0,178
78,147,15016,4534,,0,,,0,,0,176
57,99,11864,2819,,0,,,0,,0,147
81,160,15387,4803,,0,,,0,,0,168
81,157,15123,4852,,0,,,0,,0,164
81,158,15504,4875,,0,,,0,,0,154
100,196,15404,4591,,0,,,0,,0,218
77,146,14989,4454,,0,,,0,,0,153
67,122,13321,3597,,0,,,0,,0,175
81,158,15504,4875,,0,,,0,,0,156
78,147,15016,4534,,0,,,0,,0,187
77,146,14844,4456,,0,,,0,,0,178
