FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
87,169,20751,9335,,0,,,0,,0,154
92,180,20179,9043,,0,,,0,,0,177
75,137,17754,7104,,0,,,0,,0,137
122,232,20595,8626,,0,,,0,,0,217
90,176,20975,9312,,0,,,0,,0,153
91,178,20452,9136,,0,,,0,,0,187
100,196,22447,10190,,0,,,0,,0,168
78,146,18693,8041,,0,,,0,,0,175
97,191,21361,9728,,0,,,0,,0,189
97,192,21832,10114,,0,,,0,,0,154
97,191,21361,9728,,0,,,0,,0,170
64,117,16410,6263,,0,,,0,,0,147
76,140,17768,7301,,0,,,0,,0,147
100,196,22447,10190,,0,,,0,,0,186
90,173,20152,8849,,0,,,0,,0,165
97,191,21361,9728,,0,,,0,,0,178
91,179,21374,9584,,0,,,0,,0,158
97,191,21361,9728,,0,,,0,,0,176
91,178,20452,9136,,0,,,0,,0,176
97,191,21726,9895,,0,,,0,,0,170
92,178,20641,9116,,0,,,0,,0,199
74,137,18195,7452,,0,,,0,,0,148
85,161,19256,8288,,0,,,0,,0,161
97,189,20479,9184,,0,,,0,,0,220
100,200,21892,9764,,0,,,0,,0,188
81,153,19118,8126,,0,,,0,,0,202
95,184,21294,9594,,0,,,0,,0,188
80,152,19420,8288,,0,,,0,,0,139
97,192,21832,10114,,0,,,0,,0,156
97,191,21726,9895,,0,,,0,,0,163
74,137,18195,7452,,0,,,0,,0,161
91,175,20149,8888,,0,,,0,,0,178
91,179,21374,9584,,0,,,0,,0,153
108,209,21463,9590,,0,,,0,,0,199
