FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
85,172,23014,13409,,0,,,0,,0,186
70,132,18699,10471,,0,,,0,,0,140
92,185,22196,12535,,0,,,0,,0,199
70,134,18997,10655,,0,,,0,,0,202
87,171,21944,12658,,0,,,0,,0,220
66,122,18135,9790,,0,,,0,,0,148
59,106,16155,8418,,0,,,0,,0,147
80,158,21968,12823,,0,,,0,,0,158
85,169,21916,12968,,0,,,0,,0,170
85,169,22058,13129,,0,,,0,,0,189
85,169,22058,13129,,0,,,0,,0,178
82,160,21197,12232,,0,,,0,,0,199
67,122,17551,9388,,0,,,0,,0,137
80,158,21968,12823,,0,,,0,,0,153
85,169,22296,13043,,0,,,0,,0,156
75,142,19377,10851,,0,,,0,,0,161
70,130,18548,9911,,0,,,0,,0,175
85,169,22058,13129,,0,,,0,,0,170
81,158,20651,11948,,0,,,0,,0,187
80,156,20425,11704,,0,,,0,,0,178
82,161,20942,12058,,0,,,0,,0,188
86,178,23343,13344,,0,,,0,,0,188
104,209,21688,11907,,0,,,0,,0,217
85,169,22296,13043,,0,,,0,,0,154
68,125,17449,9441,,0,,,0,,0,147
66,122,18135,9790,,0,,,0,,0,161
83,160,20357,11681,,0,,,0,,0,178
81,158,20651,11948,,0,,,0,,0,176
85,172,23014,13409,,0,,,0,,0,168
85,169,22058,13129,,0,,,0,,0,177
80,154,20927,12025,,0,,,0,,0,165
77,149,21359,12644,,0,,,0,,0,154
80,156,20799,11964,,0,,,0,,0,153
85,169,21916,12968,,0,,,0,,0,163
