FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
61,117,7264,3920,,0,,,0,,0,124
154,304,8415,3901,,0,,,0,,0,207
73,147,7820,4241,,0,,,0,,0,162
86,175,7572,4088,,0,,,0,,0,160
64,127,7093,3852,,0,,,0,,0,118
57,109,7467,3836,,0,,,0,,0,98
89,183,8104,4325,,0,,,0,,0,137
70,139,7872,4248,,0,,,0,,0,115
63,124,7545,4158,,0,,,0,,0,131
154,304,8415,3901,,0,,,0,,0,200
71,142,7385,4013,,0,,,0,,0,110
57,111,7169,3598,,0,,,0,,0,113
52,100,6581,3062,,0,,,0,,0,110
62,124,7540,4192,,0,,,0,,0,95
59,113,6895,3653,,0,,,0,,0,141
73,149,7437,4057,,0,,,0,,0,108
76,158,7576,4107,,0,,,0,,0,148
76,154,7174,3874,,0,,,0,,0,136
60,115,7548,4023,,0,,,0,,0,108
61,119,7220,3416,,0,,,0,,0,105
93,187,8487,4513,,0,,,0,,0,145
62,124,6961,3723,,0,,,0,,0,119
47,87,6229,2783,,0,,,0,,0,112
74,153,7655,4156,,0,,,0,,0,164
74,153,7655,4156,,0,,,0,,0,203
71,144,7606,4145,,0,,,0,,0,131
102,205,8206,4274,,0,,,0,,0,175
112,227,8554,4333,,0,,,0,,0,221
57,109,7467,3836,,0,,,0,,0,106
75,157,7416,4131,,0,,,0,,0,125
71,144,7674,4084,,0,,,0,,0,118
62,124,7599,4147,,0,,,0,,0,101
70,140,7640,4055,,0,,,0,,0,107
74,152,7448,4030,,0,,,0,,0,120
66,132,7111,3820,,0,,,0,,0,134
72,145,7133,3761,,0,,,0,,0,160
71,145,7413,3978,,0,,,0,,0,136
57,109,7290,3946,,0,,,0,,0,106
68,140,6793,3682,,0,,,0,,0,147
112,227,8554,4333,,0,,,0,,0,211
83,167,7324,4032,,0,,,0,,0,142
64,127,7560,4154,,0,,,0,,0,127
67,133,7065,3700,,0,,,0,,0,116
47,86,6254,2729,,0,,,0,,0,136
139,275,8233,3824,,0,,,0,,0,221
57,111,6924,3500,,0,,,0,,0,111
79,157,6693,3656,,0,,,0,,0,158
63,122,7637,4120,,0,,,0,,0,115
61,117,7251,3921,,0,,,0,,0,128
60,115,7548,4023,,0,,,0,,0,123
