FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
77,151.0,16996,7401,,0,,,0,,0,164
68,130.0,16996,7492,,0,,,0,,0,168
70,136.0,17374,7530,,0,,,0,,0,110
61,113.0,16746,6962,,0,,,0,,0,108
65,126.0,16140,6807,,0,,,0,,0,122
79,161.0,17643,7927,,0,,,0,,0,126
66,125.0,17294,7328,,0,,,0,,0,144
49,87.0,14636,5121,,0,,,0,,0,136
70,138.0,17040,7246,,0,,,0,,0,107
63,120.0,17541,7597,,0,,,0,,0,92
68,130.0,17468,7449,,0,,,0,,0,150
53,96.0,14872,5465,,0,,,0,,0,112
104,217.0,22871,9949,,0,,,0,,0,229
63,117.0,16736,7078,,0,,,0,,0,128
61,116.0,15527,6005,,0,,,0,,0,115
63,120.0,17541,7597,,0,,,0,,0,93
64,123.0,16316,6860,,0,,,0,,0,107
165,,23283,9365,,0,,,0,,0,200
73,143.0,17343,7328,,0,,,0,,0,118
61,112.0,16818,6756,,0,,,0,,0,99
76,147.0,16667,7058,,0,,,0,,0,132
90,174.0,19968,9356,,0,,,0,,0,125
61,113.0,16746,6962,,0,,,0,,0,123
73,143.0,17343,7328,,0,,,0,,0,104
74,145.0,17150,7362,,0,,,0,,0,133
90,178.0,19935,9117,,0,,,0,,0,154
83,172.0,18485,8366,,0,,,0,,0,188
81,159.0,18402,8069,,0,,,0,,0,128
71,138.0,16775,7213,,0,,,0,,0,116
66,129.0,17126,7461,,0,,,0,,0,101
72,141.0,15882,6736,,0,,,0,,0,138
118,240.0,22410,9613,,0,,,0,,0,221
118,240.0,22410,9613,,0,,,0,,0,211
71,134.0,17035,7227,,0,,,0,,0,124
81,165.0,18358,8235,,0,,,0,,0,178
65,123.0,17012,7352,,0,,,0,,0,131
71,136.0,16663,6996,,0,,,0,,0,149
65,122.0,16585,6867,,0,,,0,,0,139
74,148.0,17273,7402,,0,,,0,,0,116
99,204.0,22897,10268,,0,,,0,,0,228
60,110.0,16819,6807,,0,,,0,,0,113
65,119.0,16574,6797,,0,,,0,,0,133
67,129.0,16663,7049,,0,,,0,,0,111
65,123.0,17056,7357,,0,,,0,,0,145
61,113.0,15928,6530,,0,,,0,,0,141
66,127.0,17152,7343,,0,,,0,,0,114
67,128.0,16649,6926,,0,,,0,,0,138
150,290.0,22707,9022,,0,,,0,,0,208
69,131.0,16921,7188,,0,,,0,,0,128
76,150.0,16809,7324,,0,,,0,,0,120
