FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
101,152.0,13031,5844,,0,,,0,,0,122
221,,18737,8537,,0,,,0,,0,211
123,188.0,15724,7568,,0,,,0,,0,176
233,,15029,5917,,0,,,0,,0,211
103,157.0,14400,6870,,0,,,0,,0,110
106,163.0,15114,7071,,0,,,0,,0,124
94,143.0,13077,5662,,0,,,0,,0,124
120,186.0,15743,7707,,0,,,0,,0,129
129,199.0,17275,8453,,0,,,0,,0,227
113,172.0,14549,6643,,0,,,0,,0,147
110,167.0,15343,7182,,0,,,0,,0,106
87,133.0,12273,5188,,0,,,0,,0,106
152,234.0,18278,9120,,0,,,0,,0,163
233,,15029,5917,,0,,,0,,0,221
121,185.0,15665,7427,,0,,,0,,0,214
114,174.0,15041,7025,,0,,,0,,0,147
89,135.0,11903,4947,,0,,,0,,0,138
140,213.0,18592,8710,,0,,,0,,0,161
126,192.0,17670,8827,,0,,,0,,0,128
110,168.0,15280,7043,,0,,,0,,0,108
95,142.0,12546,5376,,0,,,0,,0,110
98,150.0,13465,5888,,0,,,0,,0,145
140,214.0,19244,9241,,0,,,0,,0,134
91,138.0,12233,5218,,0,,,0,,0,108
137,210.0,18262,8850,,0,,,0,,0,234
94,142.0,12742,5518,,0,,,0,,0,133
109,165.0,14037,6361,,0,,,0,,0,109
111,169.0,15373,7072,,0,,,0,,0,106
95,146.0,13113,5653,,0,,,0,,0,133
98,148.0,13230,5812,,0,,,0,,0,139
92,140.0,12797,5484,,0,,,0,,0,124
95,142.0,12546,5376,,0,,,0,,0,109
110,167.0,15443,7021,,0,,,0,,0,115
167,257.0,19396,9280,,0,,,0,,0,181
93,142.0,12780,5546,,0,,,0,,0,104
121,186.0,15582,7504,,0,,,0,,0,136
112,172.0,15487,7303,,0,,,0,,0,103
187,278.0,19670,9541,,0,,,0,,0,223
105,159.0,14723,6787,,0,,,0,,0,128
126,194.0,17263,8499,,0,,,0,,0,126
97,150.0,13727,6136,,0,,,0,,0,95
87,133.0,12273,5188,,0,,,0,,0,113
129,199.0,17275,8453,,0,,,0,,0,178
145,224.0,17955,8822,,0,,,0,,0,175
90,137.0,12334,5316,,0,,,0,,0,96
88,132.0,12106,5094,,0,,,0,,0,99
140,214.0,19244,9241,,0,,,0,,0,128
124,190.0,16590,8201,,0,,,0,,0,125
168,256.0,19848,9464,,0,,,0,,0,229
115,176.0,16201,7758,,0,,,0,,0,102
