FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
83,169.0,21794,12754,,0,,,0,,0,102
68,133.0,19922,11275,,0,,,0,,0,100
72,142.0,19135,10639,,0,,,0,,0,93
80,164.0,19379,10985,,0,,,0,,0,110
103,207.0,26664,16080,,0,,,0,,0,161
69,135.0,19308,10965,,0,,,0,,0,154
66,128.0,19798,11181,,0,,,0,,0,99
78,156.0,18108,10131,,0,,,0,,0,111
68,131.0,19795,11131,,0,,,0,,0,106
84,170.0,20435,11716,,0,,,0,,0,147
54,102.0,16695,8500,,0,,,0,,0,112
72,144.0,18948,10633,,0,,,0,,0,138
91,185.0,25053,15294,,0,,,0,,0,125
77,154.0,19342,10815,,0,,,0,,0,134
103,207.0,26664,16080,,0,,,0,,0,153
87,174.0,21933,12836,,0,,,0,,0,133
81,165.0,20529,11932,,0,,,0,,0,103
84,169.0,21411,12433,,0,,,0,,0,102
70,137.0,19448,11068,,0,,,0,,0,156
87,178.0,22722,13730,,0,,,0,,0,129
78,155.0,19365,10911,,0,,,0,,0,149
193,,21675,9336,,0,,,0,,0,190
69,134.0,19158,10764,,0,,,0,,0,141
177,,28827,15856,,0,,,0,,0,208
138,278.0,29087,17183,,0,,,0,,0,221
98,198.0,26645,16291,,0,,,0,,0,138
83,170.0,20922,12185,,0,,,0,,0,162
83,169.0,21794,12754,,0,,,0,,0,104
134,272.0,28294,16328,,0,,,0,,0,223
82,165.0,18818,10610,,0,,,0,,0,138
196,,21938,9467,,0,,,0,,0,200
125,252.0,28463,17608,,0,,,0,,0,175
70,138.0,18217,9916,,0,,,0,,0,109
80,163.0,19885,11290,,0,,,0,,0,106
87,180.0,23290,14145,,0,,,0,,0,129
77,158.0,17222,9480,,0,,,0,,0,130
73,146.0,19215,10695,,0,,,0,,0,145
77,152.0,19031,10709,,0,,,0,,0,110
75,148.0,17297,9366,,0,,,0,,0,118
96,194.0,24330,14673,,0,,,0,,0,180
72,144.0,18895,10641,,0,,,0,,0,144
82,166.0,19188,10913,,0,,,0,,0,137
66,127.0,19585,11209,,0,,,0,,0,112
71,141.0,18849,10670,,0,,,0,,0,115
91,185.0,25053,15294,,0,,,0,,0,125
80,163.0,20524,11855,,0,,,0,,0,116
77,154.0,19342,10815,,0,,,0,,0,150
94,188.0,23795,14424,,0,,,0,,0,159
80,159.0,19499,11176,,0,,,0,,0,149
76,152.0,19305,10939,,0,,,0,,0,106
