FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
71,130,12781,3716,,0,,,0,,0,118
63,110,12470,3111,,0,,,0,,0,148
91,176,14792,4539,,0,,,0,,0,235
94,179,15177,4606,,0,,,0,,0,127
54,93,11205,2528,,0,,,0,,0,124
72,129,13106,3791,,0,,,0,,0,127
72,132,13359,3861,,0,,,0,,0,149
86,163,14689,4487,,0,,,0,,0,128
61,107,12502,3014,,0,,,0,,0,100
74,136,13311,3907,,0,,,0,,0,111
86,164,13979,4201,,0,,,0,,0,148
79,145,13344,4027,,0,,,0,,0,116
117,229,15184,4068,,0,,,0,,0,223
69,122,13254,3500,,0,,,0,,0,104
82,152,13113,3825,,0,,,0,,0,147
81,152,13282,4018,,0,,,0,,0,132
96,182,15748,4847,,0,,,0,,0,134
63,112,12765,3208,,0,,,0,,0,106
81,153,13204,3973,,0,,,0,,0,168
66,115,12435,3208,,0,,,0,,0,138
78,145,13558,3988,,0,,,0,,0,107
101,195,13749,4004,,0,,,0,,0,160
72,132,13643,3986,,0,,,0,,0,101
70,125,12701,3694,,0,,,0,,0,161
87,166,14421,4427,,0,,,0,,0,137
74,135,13628,3962,,0,,,0,,0,128
64,110,12194,3111,,0,,,0,,0,154
148,273,16269,4299,,0,,,0,,0,212
80,150,13560,4147,,0,,,0,,0,120
70,128,13519,3889,,0,,,0,,0,106
92,172,14623,4555,,0,,,0,,0,158
167,289,17907,4653,,0,,,0,,0,214
65,115,12322,3305,,0,,,0,,0,111
67,120,12856,3500,,0,,,0,,0,110
74,136,13311,3907,,0,,,0,,0,107
70,129,12653,3841,,0,,,0,,0,119
75,141,13490,4068,,0,,,0,,0,115
96,182,15748,4847,,0,,,0,,0,129
76,141,11997,3605,,0,,,0,,0,130
76,145,13647,4125,,0,,,0,,0,121
72,131,13190,3874,,0,,,0,,0,151
79,146,13485,4119,,0,,,0,,0,110
86,162,14380,4401,,0,,,0,,0,153
72,130,13388,3889,,0,,,0,,0,106
96,182,15748,4847,,0,,,0,,0,134
77,144,12222,3664,,0,,,0,,0,147
71,130,12781,3716,,0,,,0,,0,122
81,153,13204,3973,,0,,,0,,0,214
80,150,13560,4147,,0,,,0,,0,130
80,151,13601,4133,,0,,,0,,0,126
