FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
133,251.0,21582,11486,,0,,,0,,0,221
97,190.0,22802,13032,,0,,,0,,0,127
82,155.0,19129,10732,,0,,,0,,0,103
98,195.0,22004,12255,,0,,,0,,0,225
173,312.0,24663,12697,,0,,,0,,0,207
73,134.0,18144,10470,,0,,,0,,0,161
90,173.0,19679,10842,,0,,,0,,0,159
82,155.0,19250,10912,,0,,,0,,0,118
84,163.0,19954,11531,,0,,,0,,0,164
82,155.0,19250,10912,,0,,,0,,0,110
84,163.0,19954,11531,,0,,,0,,0,168
73,138.0,16999,10374,,0,,,0,,0,119
92,180.0,21558,12479,,0,,,0,,0,227
78,148.0,19591,11140,,0,,,0,,0,103
77,146.0,18390,10318,,0,,,0,,0,107
90,174.0,21860,12524,,0,,,0,,0,126
52,89.0,13296,6334,,0,,,0,,0,137
79,148.0,16811,9342,,0,,,0,,0,134
196,,21519,9554,,0,,,0,,0,206
73,136.0,19086,11351,,0,,,0,,0,95
84,160.0,19838,11289,,0,,,0,,0,132
155,286.0,22878,11745,,0,,,0,,0,213
97,190.0,22802,13032,,0,,,0,,0,142
66,119.0,18360,10030,,0,,,0,,0,106
86,165.0,21258,12233,,0,,,0,,0,108
82,157.0,19187,11019,,0,,,0,,0,162
133,251.0,21582,11486,,0,,,0,,0,211
70,128.0,17656,10476,,0,,,0,,0,110
66,119.0,17510,10150,,0,,,0,,0,113
122,232.0,21202,11436,,0,,,0,,0,181
74,135.0,18075,10423,,0,,,0,,0,144
55,95.0,14301,7108,,0,,,0,,0,112
120,235.0,21769,11644,,0,,,0,,0,219
173,303.0,25016,12931,,0,,,0,,0,211
75,141.0,18537,10619,,0,,,0,,0,133
84,163.0,19954,11531,,0,,,0,,0,214
80,153.0,17028,9279,,0,,,0,,0,138
70,128.0,18758,10993,,0,,,0,,0,96
72,131.0,18066,10542,,0,,,0,,0,133
80,151.0,17288,9587,,0,,,0,,0,119
110,209.0,21571,11904,,0,,,0,,0,163
83,162.0,20007,11569,,0,,,0,,0,126
82,155.0,19250,10912,,0,,,0,,0,102
73,136.0,17983,10440,,0,,,0,,0,106
86,165.0,21258,12233,,0,,,0,,0,116
122,232.0,21202,11436,,0,,,0,,0,175
100,193.0,22831,13044,,0,,,0,,0,134
114,216.0,22472,12246,,0,,,0,,0,146
94,188.0,21702,12400,,0,,,0,,0,188
100,193.0,22831,13044,,0,,,0,,0,129
