FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
79,152.0,19161,8852,,0,,,0,,0,110
75,142.0,20560,9887,,0,,,0,,0,105
82,160.0,18729,8700,,0,,,0,,0,106
88,170.0,22070,11105,,0,,,0,,0,110
149,273.0,25600,12780,,0,,,0,,0,181
97,193.0,25075,13183,,0,,,0,,0,107
62,113.0,18553,7752,,0,,,0,,0,112
80,153.0,20605,9783,,0,,,0,,0,109
98,193.0,24584,13004,,0,,,0,,0,132
76,145.0,19486,8901,,0,,,0,,0,104
97,193.0,24059,12598,,0,,,0,,0,214
103,204.0,23675,11912,,0,,,0,,0,159
225,,21015,5511,,0,,,0,,0,190
59,106.0,17652,6970,,0,,,0,,0,137
79,152.0,19161,8852,,0,,,0,,0,109
97,190.0,24467,12734,,0,,,0,,0,132
83,158.0,20181,9489,,0,,,0,,0,145
206,,23881,9732,,0,,,0,,0,214
98,192.0,23774,12209,,0,,,0,,0,147
73,136.0,20702,9792,,0,,,0,,0,100
94,188.0,23848,12334,,0,,,0,,0,119
95,186.0,24330,12554,,0,,,0,,0,102
114,222.0,25134,12924,,0,,,0,,0,234
147,279.0,26955,13566,,0,,,0,,0,219
119,226.0,26039,13187,,0,,,0,,0,153
90,177.0,23260,11788,,0,,,0,,0,103
98,192.0,24225,12526,,0,,,0,,0,136
96,188.0,22583,11307,,0,,,0,,0,160
74,140.0,20419,9647,,0,,,0,,0,148
224,,20539,5784,,0,,,0,,0,207
95,187.0,24102,12562,,0,,,0,,0,102
75,142.0,20326,9559,,0,,,0,,0,99
97,193.0,25075,13183,,0,,,0,,0,116
75,142.0,20560,9887,,0,,,0,,0,112
83,159.0,20334,9544,,0,,,0,,0,131
84,165.0,18346,8683,,0,,,0,,0,119
89,173.0,21926,11300,,0,,,0,,0,139
103,205.0,24507,12652,,0,,,0,,0,126
118,227.0,26831,13636,,0,,,0,,0,128
78,148.0,20463,9805,,0,,,0,,0,123
97,193.0,24059,12598,,0,,,0,,0,164
87,167.0,21463,10440,,0,,,0,,0,168
83,160.0,20160,9609,,0,,,0,,0,161
120,233.0,26557,13657,,0,,,0,,0,149
75,142.0,20692,9659,,0,,,0,,0,106
102,201.0,21910,10977,,0,,,0,,0,159
135,259.0,28540,14598,,0,,,0,,0,227
88,171.0,22158,11108,,0,,,0,,0,160
89,178.0,22883,11579,,0,,,0,,0,108
95,186.0,24330,12554,,0,,,0,,0,104
