FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
54,119,12381,6122,,0,,,0,,0,149
68,169,15514,8212,,0,,,0,,0,129
66,165,15550,8306,,0,,,0,,0,144
68,169,15514,8212,,0,,,0,,0,134
62,153,14525,7751,,0,,,0,,0,167
68,170,14948,8060,,0,,,0,,0,196
48,100,11930,5151,,0,,,0,,0,112
50,109,12503,5795,,0,,,0,,0,97
67,165,15425,8340,,0,,,0,,0,231
61,147,15382,8348,,0,,,0,,0,111
134,301,13404,5530,,0,,,0,,0,200
58,140,15193,8141,,0,,,0,,0,108
63,154,15278,8230,,0,,,0,,0,126
73,187,14630,7363,,0,,,0,,0,147
48,103,11803,5362,,0,,,0,,0,100
55,131,14029,7495,,0,,,0,,0,102
45,93,11071,4726,,0,,,0,,0,104
52,119,12585,6037,,0,,,0,,0,122
66,157,15305,8283,,0,,,0,,0,227
48,101,10889,4755,,0,,,0,,0,154
50,109,11537,5459,,0,,,0,,0,109
51,115,12020,5975,,0,,,0,,0,106
48,104,11391,5211,,0,,,0,,0,124
52,125,11941,6040,,0,,,0,,0,109
51,114,11970,5939,,0,,,0,,0,95
58,135,14922,7938,,0,,,0,,0,133
54,121,12872,6580,,0,,,0,,0,101
77,198,15965,8198,,0,,,0,,0,229
54,124,12514,6450,,0,,,0,,0,134
97,249,12664,5403,,0,,,0,,0,213
49,108,11498,5151,,0,,,0,,0,115
58,140,15193,8141,,0,,,0,,0,116
48,100,11930,5151,,0,,,0,,0,106
54,122,12875,6595,,0,,,0,,0,97
48,107,11516,5211,,0,,,0,,0,110
64,156,15150,8182,,0,,,0,,0,137
57,124,13935,7246,,0,,,0,,0,149
57,125,13462,7048,,0,,,0,,0,149
119,273,12634,5124,,0,,,0,,0,214
58,133,15208,8108,,0,,,0,,0,104
50,107,11613,5259,,0,,,0,,0,156
61,147,15382,8348,,0,,,0,,0,128
62,143,14794,8216,,0,,,0,,0,164
58,135,14922,7938,,0,,,0,,0,131
51,111,11992,5568,,0,,,0,,0,138
51,115,12020,5975,,0,,,0,,0,101
123,296,13352,5451,,0,,,0,,0,190
62,156,15038,8084,,0,,,0,,0,138
48,100,11550,5139,,0,,,0,,0,113
52,123,12291,6205,,0,,,0,,0,111
