FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
74,137.0,17992,7452,,0,,,0,,0,96
73,132.0,17245,6966,,0,,,0,,0,154
79,143.0,18329,7614,,0,,,0,,0,109
80,152.0,19356,8375,,0,,,0,,0,106
76,142.0,18671,7776,,0,,,0,,0,96
101,191.0,18747,7720,,0,,,0,,0,136
95,178.0,19979,8574,,0,,,0,,0,132
208,,24410,9570,,0,,,0,,0,221
90,171.0,19978,8656,,0,,,0,,0,106
97,185.0,19898,8574,,0,,,0,,0,126
92,172.0,20136,8641,,0,,,0,,0,115
95,182.0,20133,8428,,0,,,0,,0,116
105,198.0,19675,8165,,0,,,0,,0,126
221,,21714,5889,,0,,,0,,0,190
87,167.0,20087,8745,,0,,,0,,0,110
94,180.0,19219,8077,,0,,,0,,0,147
89,171.0,19773,8559,,0,,,0,,0,103
126,229.0,21380,8650,,0,,,0,,0,163
84,163.0,20067,8687,,0,,,0,,0,124
91,174.0,20502,8756,,0,,,0,,0,102
119,214.0,21340,8776,,0,,,0,,0,153
78,149.0,18104,7576,,0,,,0,,0,107
85,162.0,19055,8274,,0,,,0,,0,107
83,160.0,19856,8764,,0,,,0,,0,97
185,,24388,9960,,0,,,0,,0,211
118,214.0,21702,8956,,0,,,0,,0,142
95,182.0,19945,8583,,0,,,0,,0,130
129,232.0,21809,8857,,0,,,0,,0,137
96,185.0,19575,8355,,0,,,0,,0,203
118,215.0,22244,9346,,0,,,0,,0,134
97,185.0,19648,8223,,0,,,0,,0,119
72,140.0,16868,6971,,0,,,0,,0,105
85,157.0,19218,8183,,0,,,0,,0,148
208,,24410,9570,,0,,,0,,0,211
74,134.0,17536,7128,,0,,,0,,0,108
96,181.0,20173,8837,,0,,,0,,0,133
53,98.0,13506,4500,,0,,,0,,0,112
111,212.0,18679,7466,,0,,,0,,0,230
90,173.0,20390,8784,,0,,,0,,0,102
148,264.0,22861,9354,,0,,,0,,0,219
80,151.0,19281,8302,,0,,,0,,0,95
76,139.0,17990,7452,,0,,,0,,0,156
105,198.0,19737,8221,,0,,,0,,0,158
88,163.0,19054,8200,,0,,,0,,0,160
108,204.0,19113,7847,,0,,,0,,0,227
118,214.0,21702,8956,,0,,,0,,0,127
81,157.0,19480,8467,,0,,,0,,0,110
102,193.0,19269,7903,,0,,,0,,0,153
80,152.0,19356,8375,,0,,,0,,0,101
93,178.0,20135,8810,,0,,,0,,0,119
