FLO,MAT,TOPWT,HARWT,RAIN,TIRR,CET,PESW,TNUP,TNLF,TSON,TSOC
84,154.0,23285,12994,,0,,,0,,0,93
122,222.0,25022,13695,,0,,,0,,0,188
66,123.0,19450,10216,,0,,,0,,0,110
159,266.0,28537,16032,,0,,,0,,0,181
165,286.0,28927,15703,,0,,,0,,0,223
99,182.0,22323,11968,,0,,,0,,0,110
80,142.0,21910,11994,,0,,,0,,0,108
77,138.0,20976,11397,,0,,,0,,0,154
129,223.0,25704,13859,,0,,,0,,0,153
103,188.0,22931,12320,,0,,,0,,0,132
99,183.0,23704,12886,,0,,,0,,0,118
146,256.0,28690,15991,,0,,,0,,0,227
83,156.0,21595,11804,,0,,,0,,0,107
77,136.0,21747,11707,,0,,,0,,0,98
99,183.0,23704,12886,,0,,,0,,0,110
90,168.0,24070,13217,,0,,,0,,0,101
91,169.0,24132,13493,,0,,,0,,0,97
122,217.0,26560,14362,,0,,,0,,0,125
239,,20924,6630,,0,,,0,,0,200
124,222.0,26448,14546,,0,,,0,,0,143
77,137.0,20970,11196,,0,,,0,,0,141
87,163.0,21534,11556,,0,,,0,,0,118
77,138.0,21411,11730,,0,,,0,,0,114
100,181.0,23120,12637,,0,,,0,,0,115
97,180.0,23959,13217,,0,,,0,,0,108
95,176.0,21089,11466,,0,,,0,,0,130
74,129.0,20693,10970,,0,,,0,,0,104
150,266.0,29434,16458,,0,,,0,,0,228
89,166.0,23512,13075,,0,,,0,,0,110
122,221.0,25227,14084,,0,,,0,,0,234
87,161.0,24220,13343,,0,,,0,,0,106
75,140.0,21420,11542,,0,,,0,,0,128
83,155.0,21746,11689,,0,,,0,,0,112
82,148.0,21865,11853,,0,,,0,,0,167
102,187.0,20907,10936,,0,,,0,,0,160
129,223.0,25704,13859,,0,,,0,,0,161
96,181.0,21124,11301,,0,,,0,,0,138
159,266.0,28537,16032,,0,,,0,,0,175
99,184.0,21063,11112,,0,,,0,,0,137
59,105.0,18350,8700,,0,,,0,,0,135
99,181.0,22861,12133,,0,,,0,,0,106
219,,28910,14019,,0,,,0,,0,214
59,106.0,18615,9107,,0,,,0,,0,112
82,146.0,21956,11916,,0,,,0,,0,128
98,181.0,21167,11138,,0,,,0,,0,119
126,222.0,26867,14864,,0,,,0,,0,144
102,189.0,23362,12731,,0,,,0,,0,162
92,167.0,23955,13115,,0,,,0,,0,134
103,192.0,23042,12468,,0,,,0,,0,129
97,181.0,23274,12672,,0,,,0,,0,103
